Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Sandy Lane (9)-Temp(C)-slotB,Sandy Lane (9)-Humidity(%RH)-slotB,Sandy Lane (9)-NO2(ug/m3)-slotB,Sandy Lane (9)-O3(ug/m3)-slotB,Sandy Lane (9)-NO(ug/m3)-slotB,Sandy Lane (9)-PM1(ug/m3)-slotB,Sandy Lane (9)-PM2.5(ug/m3)-slotB,Sandy Lane (9)-PM10(ug/m3)-slotB,Sandy Lane (9)-Ambient temp(C)-slotB,Sandy Lane (9)-Ambient humidity(%RH)-slotB,Sandy Lane (9)-Ambient pressure(hPa)-slotB
"2021-12-05T11:53:41+00:00",1638705221,"2021-12-05T11:53:41+0000",9,68,254.93,0,51.67,0.71,2.47,3.68,9,72,1008.7
"2021-12-05T11:54:41+00:00",1638705281,"2021-12-05T11:54:41+0000",9,68,253.76,0,46.49,0,2.47,3.04,9,72,1008.7
"2021-12-05T11:55:41+00:00",1638705341,"2021-12-05T11:55:41+0000",9,67,253.32,0,50.22,0.71,3.47,4.32,9,72,1008.7
"2021-12-05T11:56:41+00:00",1638705401,"2021-12-05T11:56:41+0000",9,67,253.99,0,57.11,0.71,2.98,4.32,9,72,1008.7
"2021-12-05T11:57:41+00:00",1638705461,"2021-12-05T11:57:41+0000",9,67,253.99,0,55.39,0.71,2.49,3.68,9,72,1008.7
"2021-12-05T11:58:41+00:00",1638705521,"2021-12-05T11:58:41+0000",9,67,255.54,0,53.09,0.71,2.98,3.68,9,73,1008.7
"2021-12-05T11:59:41+00:00",1638705581,"2021-12-05T11:59:41+0000",9,67,253.55,0,42.76,0,2.49,3.03,9,72,1008.8
"2021-12-05T12:00:41+00:00",1638705641,"2021-12-05T12:00:41+0000",9,68,257.68,0,49.19,0.71,2.97,4.32,9,73,1008.8
"2021-12-05T12:01:41+00:00",1638705701,"2021-12-05T12:01:41+0000",9,68,257.9,0,58.41,0.71,2.97,3.68,9,73,1008.8
"2021-12-05T12:02:41+00:00",1638705761,"2021-12-05T12:02:41+0000",9,68,254.06,0,63.77,0,2.46,3.68,9,73,1008.8
"2021-12-05T12:03:41+00:00",1638705821,"2021-12-05T12:03:41+0000",9,68,254.28,0,52.21,0,2.46,3.04,9,72,1008.9
"2021-12-05T12:05:58+00:00",1638705958,"2021-12-05T12:05:58+0000",9,68,253.54,0,57.13,0.71,2.45,3.05,9,73,1008.9
"2021-12-05T12:06:58+00:00",1638706018,"2021-12-05T12:06:58+0000",9,68,256.42,0,51.18,0.71,2.94,4.33,9,73,1008.9
"2021-12-05T12:07:58+00:00",1638706078,"2021-12-05T12:07:58+0000",9,68,254.41,0,50.89,0.71,2.93,3.69,9,72,1008.9
"2021-12-05T12:08:58+00:00",1638706138,"2021-12-05T12:08:58+0000",9,68,252.81,0,52.33,0.71,3.43,4.33,9,72,1008.9
"2021-12-05T12:09:58+00:00",1638706198,"2021-12-05T12:09:58+0000",9,68,255.91,0,58.29,0.71,2.94,3.69,9,72,1009
"2021-12-05T12:10:58+00:00",1638706258,"2021-12-05T12:10:58+0000",9,68,254.3,0,55.38,0,2.94,3.69,9,72,1009
"2021-12-05T12:11:58+00:00",1638706318,"2021-12-05T12:11:58+0000",9,68,254.31,0,52.46,0,2.46,3.68,9,72,1009
"2021-12-05T12:12:58+00:00",1638706378,"2021-12-05T12:12:58+0000",9,68,254.09,0,54.07,0.71,2.46,3.04,9,72,1009
"2021-12-05T12:13:58+00:00",1638706438,"2021-12-05T12:13:58+0000",9,68,254.31,0,59.62,0.71,2.46,3.04,9,73,1009
"2021-12-05T12:14:58+00:00",1638706498,"2021-12-05T12:14:58+0000",9,68,257.11,0,61.68,0.71,2.94,3.69,9,73,1009
"2021-12-05T12:15:58+00:00",1638706558,"2021-12-05T12:15:58+0000",9,68,254.91,0,51.28,0.71,2.95,3.68,9,73,1009
"2021-12-05T12:16:58+00:00",1638706618,"2021-12-05T12:16:58+0000",9,68,254.83,0,52.44,0,2.94,3.69,9,73,1009
"2021-12-05T12:17:58+00:00",1638706678,"2021-12-05T12:17:58+0000",9,68,255.94,0,65.23,0,2.45,3.05,9,72,1009
"2021-12-05T12:18:58+00:00",1638706738,"2021-12-05T12:18:58+0000",9,68,252.4,0,58.91,0.71,2.95,3.68,9,72,1009
"2021-12-05T12:19:58+00:00",1638706798,"2021-12-05T12:19:58+0000",10,68,252.34,0,44.91,0,2.46,3.04,9,72,1009
"2021-12-05T12:20:58+00:00",1638706858,"2021-12-05T12:20:58+0000",10,68,251.46,0,38.71,0.71,2.47,3.04,9,72,1009
"2021-12-05T12:21:58+00:00",1638706918,"2021-12-05T12:21:58+0000",10,68,250.35,0,49.78,0.71,2.97,4.32,9,71,1009
"2021-12-05T12:22:58+00:00",1638706978,"2021-12-05T12:22:58+0000",10,67,249.03,0,48.89,0.71,3.47,4.32,9,71,1009
"2021-12-05T12:23:58+00:00",1638707038,"2021-12-05T12:23:58+0000",10,67,247.73,0,49.92,0,2.51,3.03,9,71,1009
"2021-12-05T12:24:58+00:00",1638707098,"2021-12-05T12:24:58+0000",10,67,245.53,0,47.12,0.71,3.03,3.66,9,70,1008.9
"2021-12-05T12:25:58+00:00",1638707158,"2021-12-05T12:25:58+0000",10,67,247.26,0,43.39,1.43,3.55,4.95,9,71,1008.9
"2021-12-05T12:26:58+00:00",1638707218,"2021-12-05T12:26:58+0000",10,67,244.18,0,53.46,0.71,2.59,3,9,70,1008.9
"2021-12-05T12:27:58+00:00",1638707278,"2021-12-05T12:27:58+0000",10,67,244.86,0,61.15,0.71,3.1,3.64,9,71,1008.9
"2021-12-05T12:28:58+00:00",1638707338,"2021-12-05T12:28:58+0000",10,66,244.42,0,51.24,0.71,3.11,4.29,9,71,1008.9
"2021-12-05T12:29:58+00:00",1638707398,"2021-12-05T12:29:58+0000",10,66,245.99,0,57.16,0.71,3.13,4.93,9,71,1008.9
"2021-12-05T12:30:58+00:00",1638707458,"2021-12-05T12:30:58+0000",10,66,243.99,0,49.91,0.71,3.13,4.29,9,71,1008.9
"2021-12-05T12:31:58+00:00",1638707518,"2021-12-05T12:31:58+0000",10,66,243.34,0,47.98,1.43,4.13,4.93,9,71,1009
"2021-12-05T12:32:58+00:00",1638707578,"2021-12-05T12:32:58+0000",10,66,242.91,0,46.95,0.71,3.15,3.63,9,71,1009
"2021-12-05T12:33:58+00:00",1638707638,"2021-12-05T12:33:58+0000",10,66,241.8,0,52.13,0.71,3.15,4.28,9,71,1009
"2021-12-05T12:34:58+00:00",1638707698,"2021-12-05T12:34:58+0000",10,66,241.8,0,56.86,0.71,3.15,3.63,9,71,1009.1
"2021-12-05T12:35:58+00:00",1638707758,"2021-12-05T12:35:58+0000",10,66,242.46,0,44.87,0,2.66,3.63,9,71,1009.1
"2021-12-05T12:36:58+00:00",1638707818,"2021-12-05T12:36:58+0000",10,66,240.47,0,54.49,0.71,3.15,3.63,9,71,1009.1
"2021-12-05T12:37:58+00:00",1638707878,"2021-12-05T12:37:58+0000",10,66,241.13,0,47.69,0.71,2.66,2.98,9,72,1009.1
"2021-12-05T12:38:58+00:00",1638707938,"2021-12-05T12:38:58+0000",10,66,238.46,0,54.94,0.71,2.64,2.98,9,71,1009.1
"2021-12-05T12:39:58+00:00",1638707998,"2021-12-05T12:39:58+0000",10,66,238.69,0,38.81,0.71,3.15,3.63,9,71,1009.1
"2021-12-05T12:40:58+00:00",1638708058,"2021-12-05T12:40:58+0000",10,66,242.23,0,45.32,0,2.64,2.98,9,72,1009.2
"2021-12-05T12:41:58+00:00",1638708118,"2021-12-05T12:41:58+0000",10,66,240.01,0,57.75,0.71,3.14,3.63,9,72,1009.2
