Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Darley Avenue (44)-Temp(C)-slotB,Darley Avenue (44)-Humidity(%RH)-slotB,Darley Avenue (44)-NO2(ug/m3)-slotB,Darley Avenue (44)-O3(ug/m3)-slotB,Darley Avenue (44)-NO(ug/m3)-slotB,Darley Avenue (44)-PM1(ug/m3)-slotB,Darley Avenue (44)-PM2.5(ug/m3)-slotB,Darley Avenue (44)-PM10(ug/m3)-slotB,Darley Avenue (44)-Ambient temp(C)-slotB,Darley Avenue (44)-Ambient humidity(%RH)-slotB,Darley Avenue (44)-Ambient pressure(hPa)-slotB
"2021-01-29T00:00:46+00:00",1611878446,"2021-01-29T00:00:46+0000",19,46,9.42,0,11.09,0.71,5.26,5.26,19,50,988.8
"2021-01-29T00:01:46+00:00",1611878506,"2021-01-29T00:01:46+0000",19,46,9.86,0,23.31,0.71,5.26,5.26,19,50,988.7
"2021-01-29T00:02:46+00:00",1611878566,"2021-01-29T00:02:46+0000",19,46,9.86,0,14.39,0,5.26,5.26,19,50,988.7
"2021-01-29T00:03:46+00:00",1611878626,"2021-01-29T00:03:46+0000",19,46,9.88,0,25.25,0.71,5.27,5.27,19,50,988.7
"2021-01-29T00:04:46+00:00",1611878686,"2021-01-29T00:04:46+0000",19,46,9.42,0,18.08,0.71,5.26,5.26,19,50,988.7
"2021-01-29T00:05:46+00:00",1611878746,"2021-01-29T00:05:46+0000",19,46,9.64,0,19.82,0,5.26,5.26,19,50,988.7
"2021-01-29T00:06:46+00:00",1611878806,"2021-01-29T00:06:46+0000",19,46,9.64,0,6.82,0.71,5.26,5.26,19,50,988.7
"2021-01-29T00:07:46+00:00",1611878866,"2021-01-29T00:07:46+0000",19,46,9.86,0,15.75,0,5.26,5.26,19,50,988.7
"2021-01-29T00:08:46+00:00",1611878926,"2021-01-29T00:08:46+0000",19,46,9.86,0,15.94,0,4.72,4.72,19,50,988.7
"2021-01-29T00:09:46+00:00",1611878986,"2021-01-29T00:09:46+0000",19,46,9.64,0,12.06,0.71,5.26,5.26,19,50,988.7
"2021-01-29T00:10:46+00:00",1611879046,"2021-01-29T00:10:46+0000",19,46,9.64,0,17.88,0.71,5.26,5.26,19,50,988.7
"2021-01-29T00:11:46+00:00",1611879106,"2021-01-29T00:11:46+0000",19,46,9.86,0,16.72,0,4.72,4.72,19,50,988.7
"2021-01-29T00:12:46+00:00",1611879166,"2021-01-29T00:12:46+0000",19,46,9.86,0,17.11,0.71,5.26,5.26,19,50,988.7
"2021-01-29T00:13:46+00:00",1611879226,"2021-01-29T00:13:46+0000",19,46,9.86,0,15.36,0,5.26,5.26,19,50,988.7
"2021-01-29T00:14:46+00:00",1611879286,"2021-01-29T00:14:46+0000",19,46,9.42,0,18.85,0,4.72,4.72,19,50,988.7
"2021-01-29T00:15:46+00:00",1611879346,"2021-01-29T00:15:46+0000",19,46,9.41,0,12.64,0,4.71,4.71,19,50,988.7
"2021-01-29T00:16:46+00:00",1611879406,"2021-01-29T00:16:46+0000",19,46,10.08,0,20.02,0,4.71,4.71,19,50,988.7
"2021-01-29T00:17:46+00:00",1611879466,"2021-01-29T00:17:46+0000",19,46,9.64,0,22.34,0,4.72,4.72,19,50,988.7
"2021-01-29T00:18:46+00:00",1611879526,"2021-01-29T00:18:46+0000",19,46,9.64,0,16.52,0,5.26,5.26,19,50,988.7
"2021-01-29T00:19:46+00:00",1611879586,"2021-01-29T00:19:46+0000",19,46,9.41,0,10.9,0,5.24,5.24,19,50,988.7
"2021-01-29T00:20:46+00:00",1611879646,"2021-01-29T00:20:46+0000",19,46,9.63,0,14.97,0,5.24,5.24,19,50,988.7
"2021-01-29T00:21:46+00:00",1611879706,"2021-01-29T00:21:46+0000",19,46,9.85,0,17.49,0.71,5.24,5.24,19,50,988.7
"2021-01-29T00:22:46+00:00",1611879766,"2021-01-29T00:22:46+0000",19,46,9.86,0,19.24,0.71,5.26,5.26,19,50,988.7
"2021-01-29T00:23:46+00:00",1611879826,"2021-01-29T00:23:46+0000",19,46,9.64,0,28.94,0,4.72,4.72,19,50,988.7
"2021-01-29T00:24:46+00:00",1611879886,"2021-01-29T00:24:46+0000",19,46,9.64,0,21.96,0,5.26,5.26,19,50,988.7
"2021-01-29T00:25:46+00:00",1611879946,"2021-01-29T00:25:46+0000",19,46,9.63,0,22.54,0,5.24,5.24,19,50,988.8
"2021-01-29T00:26:46+00:00",1611880006,"2021-01-29T00:26:46+0000",19,46,9.42,0,8.18,0,4.72,4.72,19,50,988.8
"2021-01-29T00:27:46+00:00",1611880066,"2021-01-29T00:27:46+0000",19,46,9.63,0,19.05,0.71,5.24,5.24,19,50,988.8
"2021-01-29T00:28:46+00:00",1611880126,"2021-01-29T00:28:46+0000",19,46,9.63,0,18.27,0,5.24,5.24,19,50,988.8
