Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Four Banks - Barlow Moor Road (163)-Temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-NO2(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-O3(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-NO(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM1(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM2.5(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM10(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-Ambient temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Ambient humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-Ambient pressure(hPa)-slotB
"2021-08-31T10:37:30+00:00",1630406250,"2021-08-31T11:37:30+0100",18,58,28.15,28.46,41.91,1.43,8.69,8.69,18,60,1030.8
"2021-08-31T10:38:30+00:00",1630406310,"2021-08-31T11:38:30+0100",18,57,37.93,16.01,111.84,1.43,7.86,7.86,18,59,1030.8
"2021-08-31T10:39:30+00:00",1630406370,"2021-08-31T11:39:30+0100",18,57,38.38,17.41,132.37,1.43,8.77,8.77,18,59,1030.8
"2021-08-31T10:40:30+00:00",1630406430,"2021-08-31T11:40:30+0100",18,57,42.15,10.81,181.76,3.56,10.55,10.55,18,59,1030.8
"2021-08-31T10:41:30+00:00",1630406490,"2021-08-31T11:41:30+0100",18,57,35.5,21.31,95.21,1.43,7.89,7.89,18,59,1030.9
"2021-08-31T10:42:30+00:00",1630406550,"2021-08-31T11:42:30+0100",18,57,21.32,38.76,71.25,2.14,9.69,9.69,18,59,1030.9
"2021-08-31T10:43:30+00:00",1630406610,"2021-08-31T11:43:30+0100",18,57,33.89,15.91,164.29,1.43,8.8,8.8,18,59,1030.9
"2021-08-31T10:44:30+00:00",1630406670,"2021-08-31T11:44:30+0100",18,57,30.8,25.61,79.84,1.43,7.94,7.94,18,59,1030.9
"2021-08-31T10:45:30+00:00",1630406730,"2021-08-31T11:45:30+0100",18,57,29.47,32.66,51.85,2.85,11.5,11.5,18,59,1030.9
"2021-08-31T10:46:30+00:00",1630406790,"2021-08-31T11:46:30+0100",18,57,38.1,26.96,103.9,6.41,17.64,17.64,18,59,1030.9
"2021-08-31T10:47:30+00:00",1630406850,"2021-08-31T11:47:30+0100",18,57,35.66,18.76,148.58,14.25,27.39,27.39,18,60,1030.9
"2021-08-31T10:48:30+00:00",1630406910,"2021-08-31T11:48:30+0100",18,57,33.43,26.26,80.82,2.85,9.63,9.63,18,59,1030.9
"2021-08-31T10:49:30+00:00",1630406970,"2021-08-31T11:49:30+0100",18,57,35.88,20.96,111.75,2.14,8.77,8.77,18,59,1030.9
"2021-08-31T10:50:30+00:00",1630407030,"2021-08-31T11:50:30+0100",18,57,40.98,16.31,177.06,1.43,8.77,8.77,18,59,1030.9
"2021-08-31T10:51:30+00:00",1630407090,"2021-08-31T11:51:30+0100",18,57,30.78,26.11,75.42,4.99,14.09,14.09,18,59,1030.9
"2021-08-31T10:52:30+00:00",1630407150,"2021-08-31T11:52:30+0100",18,57,43.63,12.21,138.27,4.28,13.17,13.17,18,59,1031
"2021-08-31T10:53:30+00:00",1630407210,"2021-08-31T11:53:30+0100",18,57,43.34,11.26,126.46,2.14,8.75,8.75,18,59,1030.9
"2021-08-31T10:54:30+00:00",1630407270,"2021-08-31T11:54:30+0100",18,57,36.47,21.81,101.81,1.43,8.75,8.75,18,59,1031
"2021-08-31T10:55:30+00:00",1630407330,"2021-08-31T11:55:30+0100",18,57,16.08,46.41,35.75,0.71,7,7,18,59,1030.9
"2021-08-31T10:56:30+00:00",1630407390,"2021-08-31T11:56:30+0100",18,57,14.99,44.16,32.3,0.71,7.05,7.05,18,59,1030.9
"2021-08-31T10:57:30+00:00",1630407450,"2021-08-31T11:57:30+0100",18,57,11.7,50.66,23.91,1.43,8.02,8.02,18,58,1030.9
"2021-08-31T10:58:30+00:00",1630407510,"2021-08-31T11:58:30+0100",18,57,15.91,51.21,10.11,0,6.24,6.24,18,59,1030.9
"2021-08-31T10:59:30+00:00",1630407570,"2021-08-31T11:59:30+0100",18,57,19.48,44.66,99.34,4.99,12.55,12.55,18,58,1030.9
"2021-08-31T11:00:30+00:00",1630407630,"2021-08-31T12:00:30+0100",18,57,40.99,13.06,242.81,2.14,8.97,8.97,18,58,1030.9
"2021-08-31T11:01:30+00:00",1630407690,"2021-08-31T12:01:30+0100",18,56,35.03,26.66,324.15,1.43,8.13,8.13,18,58,1030.9
"2021-08-31T11:02:30+00:00",1630407750,"2021-08-31T12:02:30+0100",18,56,21.06,39.56,80.61,1.43,8.13,8.13,18,58,1030.9
"2021-08-31T11:03:30+00:00",1630407810,"2021-08-31T12:03:30+0100",18,57,17.94,47.01,51.03,2.14,9,9,18,58,1030.9
"2021-08-31T11:04:30+00:00",1630407870,"2021-08-31T12:04:30+0100",18,57,12.4,55.51,10.11,0.71,7.21,7.21,18,59,1030.9
"2021-08-31T11:05:30+00:00",1630407930,"2021-08-31T12:05:30+0100",18,56,16.47,45.86,64.62,1.43,8.13,8.13,18,59,1030.9
"2021-08-31T11:06:30+00:00",1630407990,"2021-08-31T12:06:30+0100",18,56,13.52,53.01,26.38,0.71,8.13,8.13,18,59,1030.9
"2021-08-31T11:07:30+00:00",1630408050,"2021-08-31T12:07:30+0100",18,56,31.54,24.71,134.34,2.14,9.03,9.03,18,59,1030.9
"2021-08-31T11:08:30+00:00",1630408110,"2021-08-31T12:08:30+0100",18,56,35.98,22.96,95.06,2.14,9.92,9.92,18,59,1030.9
"2021-08-31T11:09:30+00:00",1630408170,"2021-08-31T12:09:30+0100",18,56,37.24,17.16,159,2.14,8.13,8.13,18,59,1030.9
"2021-08-31T11:10:30+00:00",1630408230,"2021-08-31T12:10:30+0100",18,56,24.16,35.86,53.49,1.43,8.13,8.13,18,58,1030.9
"2021-08-31T11:11:30+00:00",1630408290,"2021-08-31T12:11:30+0100",18,56,42.79,7.41,125.47,2.85,11.72,11.72,18,58,1030.9
"2021-08-31T11:12:30+00:00",1630408350,"2021-08-31T12:12:30+0100",18,56,47.67,9.31,123.01,2.14,9.03,9.03,18,58,1030.9
"2021-08-31T11:13:30+00:00",1630408410,"2021-08-31T12:13:30+0100",19,56,26.31,33.36,41.78,1.43,8.13,8.13,18,58,1030.9
"2021-08-31T11:14:30+00:00",1630408470,"2021-08-31T12:14:30+0100",19,56,18.56,41.61,0,2.14,9.06,9.06,18,58,1030.9
"2021-08-31T11:15:30+00:00",1630408530,"2021-08-31T12:15:30+0100",19,56,16.57,51.81,41.78,1.43,7.26,7.26,18,58,1031
"2021-08-31T11:16:30+00:00",1630408590,"2021-08-31T12:16:30+0100",19,56,12.37,53.26,17.53,1.43,9.08,9.08,18,58,1031
"2021-08-31T11:17:30+00:00",1630408650,"2021-08-31T12:17:30+0100",19,56,9.73,58.36,17.03,2.14,9.14,9.14,18,58,1031
"2021-08-31T11:18:30+00:00",1630408710,"2021-08-31T12:18:30+0100",19,56,17.28,47.41,28.42,1.43,8.27,8.27,18,58,1031
"2021-08-31T11:19:30+00:00",1630408770,"2021-08-31T12:19:30+0100",19,56,14.62,51.76,15.55,1.43,8.27,8.27,18,58,1030.9
"2021-08-31T11:20:30+00:00",1630408830,"2021-08-31T12:20:30+0100",19,56,35.03,18.41,133.36,2.14,10.1,10.1,18,58,1031
"2021-08-31T11:21:30+00:00",1630408890,"2021-08-31T12:21:30+0100",19,56,25.04,35.66,34.85,2.85,10.97,10.97,18,58,1030.9
"2021-08-31T11:22:30+00:00",1630408950,"2021-08-31T12:22:30+0100",19,56,26.81,35.01,54.16,2.14,10.07,10.07,18,58,1031
"2021-08-31T11:23:30+00:00",1630409010,"2021-08-31T12:23:30+0100",19,56,35.45,22.31,60.59,1.43,9.14,9.14,18,58,1031
"2021-08-31T11:24:30+00:00",1630409070,"2021-08-31T12:24:30+0100",18,56,36.83,21.26,56.45,1.43,7.31,7.31,18,59,1031
"2021-08-31T11:26:27+00:00",1630409187,"2021-08-31T12:26:27+0100",18,56,16.41,51.11,14.05,0.71,8.16,8.16,18,59,1031
"2021-08-31T11:27:27+00:00",1630409247,"2021-08-31T12:27:27+0100",18,56,15.76,56.76,24.41,1.43,9.08,9.08,18,59,1031
"2021-08-31T11:28:27+00:00",1630409307,"2021-08-31T12:28:27+0100",18,56,10.94,59.86,0.3,1.43,9.08,9.08,18,59,1031
"2021-08-31T11:29:27+00:00",1630409367,"2021-08-31T12:29:27+0100",18,56,18.48,47.41,45.96,0.71,6.39,6.39,18,59,1031
"2021-08-31T11:30:27+00:00",1630409427,"2021-08-31T12:30:27+0100",18,56,16.69,52.81,0,2.14,9.92,9.92,18,59,1031
"2021-08-31T11:31:27+00:00",1630409487,"2021-08-31T12:31:27+0100",18,57,17.11,56.46,12.08,1.43,8.97,8.97,18,59,1031
"2021-08-31T11:32:27+00:00",1630409547,"2021-08-31T12:32:27+0100",18,57,11.99,59.86,0,1.43,8.02,8.02,18,60,1031
"2021-08-31T11:33:27+00:00",1630409607,"2021-08-31T12:33:27+0100",18,57,24.84,39.96,54.8,7.84,18.69,18.69,18,60,1031.1
"2021-08-31T11:34:27+00:00",1630409667,"2021-08-31T12:34:27+0100",18,57,30.38,38.46,61.18,2.14,10.67,10.67,18,60,1031
"2021-08-31T11:35:27+00:00",1630409727,"2021-08-31T12:35:27+0100",18,57,34.8,30.71,67.07,2.85,9.75,9.75,18,60,1031
"2021-08-31T11:36:27+00:00",1630409787,"2021-08-31T12:36:27+0100",18,57,28.14,40.96,27.3,2.14,8.83,8.83,18,60,1031.1
"2021-08-31T11:37:27+00:00",1630409847,"2021-08-31T12:37:27+0100",18,57,13.95,54.91,0,2.14,10.61,10.61,18,59,1031.1
"2021-08-31T11:38:27+00:00",1630409907,"2021-08-31T12:38:27+0100",18,57,9.81,60.11,4.75,5.7,15.09,15.09,18,59,1031.1
"2021-08-31T11:39:27+00:00",1630409967,"2021-08-31T12:39:27+0100",18,57,16.48,53.36,10.61,1.43,8,8,18,59,1031.1
"2021-08-31T11:40:27+00:00",1630410027,"2021-08-31T12:40:27+0100",18,57,20.41,51.21,31.23,2.85,9.81,9.81,18,59,1031
"2021-08-31T11:41:27+00:00",1630410087,"2021-08-31T12:41:27+0100",18,57,37.55,31.61,79.56,1.43,7.13,7.13,18,59,1031
"2021-08-31T11:42:27+00:00",1630410147,"2021-08-31T12:42:27+0100",18,57,21.14,44.06,0,2.14,8.92,8.92,18,59,1031.1
"2021-08-31T11:43:27+00:00",1630410207,"2021-08-31T12:43:27+0100",18,57,26.01,39.46,34.09,3.56,13.34,13.34,18,59,1031
"2021-08-31T11:44:27+00:00",1630410267,"2021-08-31T12:44:27+0100",18,57,31.93,34.86,93.59,2.14,8.89,8.89,18,59,1031.1
"2021-08-31T11:45:27+00:00",1630410327,"2021-08-31T12:45:27+0100",18,57,19.72,49.61,15.52,2.14,8.86,8.86,18,59,1031.1
"2021-08-31T11:46:27+00:00",1630410387,"2021-08-31T12:46:27+0100",18,57,25.92,39.46,50.38,0.71,7.94,7.94,18,59,1031.1
"2021-08-31T11:47:27+00:00",1630410447,"2021-08-31T12:47:27+0100",18,57,20.61,47.66,25.34,1.43,9.75,9.75,18,59,1031
"2021-08-31T11:48:27+00:00",1630410507,"2021-08-31T12:48:27+0100",18,57,15.97,54.96,0,2.85,12.45,12.45,18,59,1031
"2021-08-31T11:49:27+00:00",1630410567,"2021-08-31T12:49:27+0100",18,57,13.53,59.76,23.87,2.14,8.89,8.89,18,59,1031
"2021-08-31T11:50:27+00:00",1630410627,"2021-08-31T12:50:27+0100",18,57,21.47,47.96,39.69,2.14,9.84,9.84,18,59,1031
"2021-08-31T11:51:27+00:00",1630410687,"2021-08-31T12:51:27+0100",18,57,14.38,59.56,10.11,2.85,11.65,11.65,18,59,1031.1
"2021-08-31T11:52:27+00:00",1630410747,"2021-08-31T12:52:27+0100",18,57,25.25,43.86,67.79,1.43,8.97,8.97,18,59,1031
"2021-08-31T11:53:27+00:00",1630410807,"2021-08-31T12:53:27+0100",18,57,34.79,23.46,99.34,12.83,26.91,26.91,18,59,1031.1
"2021-08-31T11:54:27+00:00",1630410867,"2021-08-31T12:54:27+0100",18,57,54.75,0,408.95,6.41,16.16,16.16,18,58,1031.1
"2021-08-31T11:55:27+00:00",1630410927,"2021-08-31T12:55:27+0100",18,56,24.16,42.86,43.14,2.14,9.03,9.03,18,58,1031.2
"2021-08-31T11:56:27+00:00",1630410987,"2021-08-31T12:56:27+0100",19,56,20.33,47.46,28.91,1.43,8.13,8.13,18,58,1031.1
"2021-08-31T11:57:27+00:00",1630411047,"2021-08-31T12:57:27+0100",19,56,19.01,49.01,49.21,0,8.16,8.16,18,58,1031.2
"2021-08-31T11:58:27+00:00",1630411107,"2021-08-31T12:58:27+0100",19,56,18.79,52.56,26.93,2.14,9.95,9.95,18,58,1031.2
"2021-08-31T11:59:27+00:00",1630411167,"2021-08-31T12:59:27+0100",19,56,18.59,53.61,39.8,2.14,10.01,10.01,18,58,1031.1
"2021-08-31T12:00:27+00:00",1630411227,"2021-08-31T13:00:27+0100",19,56,12.82,60.41,0,2.14,9.11,9.11,18,58,1031.1
"2021-08-31T12:01:27+00:00",1630411287,"2021-08-31T13:01:27+0100",19,56,12.61,60.96,5.15,1.43,8.24,8.24,18,58,1031.1
"2021-08-31T12:02:27+00:00",1630411347,"2021-08-31T13:02:27+0100",19,56,21.86,47.86,37.43,2.14,9.14,9.14,18,58,1031.1
"2021-08-31T12:03:27+00:00",1630411407,"2021-08-31T13:03:27+0100",19,56,24.08,42.61,41.41,0.71,7.34,7.34,18,58,1031.1
"2021-08-31T12:04:27+00:00",1630411467,"2021-08-31T13:04:27+0100",19,56,15.89,55.46,27.99,2.14,9.2,9.2,18,58,1031.1
"2021-08-31T12:05:27+00:00",1630411527,"2021-08-31T13:05:27+0100",19,56,28.76,30.06,98.07,2.14,9.2,9.2,18,58,1031.2
"2021-08-31T12:06:27+00:00",1630411587,"2021-08-31T13:06:27+0100",19,56,15.66,55.76,3.14,1.43,9.17,9.17,18,58,1031.2
"2021-08-31T12:07:27+00:00",1630411647,"2021-08-31T13:07:27+0100",19,56,17.37,56.11,3.6,2.14,10.07,10.07,18,58,1031.2
"2021-08-31T12:08:27+00:00",1630411707,"2021-08-31T13:08:27+0100",19,56,20.71,46.86,44.02,1.43,8.29,8.29,18,58,1031.2
"2021-08-31T12:09:27+00:00",1630411767,"2021-08-31T13:09:27+0100",19,56,17.84,50.51,23.56,2.14,11.04,11.04,18,58,1031.2
"2021-08-31T12:10:27+00:00",1630411827,"2021-08-31T13:10:27+0100",19,56,34.23,33.56,73.96,1.43,10.1,10.1,18,58,1031.2
"2021-08-31T12:11:27+00:00",1630411887,"2021-08-31T13:11:27+0100",19,56,26.46,43.06,40.03,2.14,10.07,10.07,18,57,1031.2
"2021-08-31T12:12:27+00:00",1630411947,"2021-08-31T13:12:27+0100",19,56,38.23,25.16,161.29,2.85,10.1,10.1,18,58,1031.2
"2021-08-31T12:13:27+00:00",1630412007,"2021-08-31T13:13:27+0100",19,56,45.26,13.81,117.3,2.14,11.91,11.91,18,58,1031.2
"2021-08-31T12:14:27+00:00",1630412067,"2021-08-31T13:14:27+0100",19,56,50.12,8.21,219,4.99,12.78,12.78,18,58,1031.2
