Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Four Banks - Barlow Moor Road (163)-Temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-NO2(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-O3(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-NO(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM1(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM2.5(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM10(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-Ambient temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Ambient humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-Ambient pressure(hPa)-slotB
"2021-01-25T13:32:15+00:00",1611581535,"2021-01-25T13:32:15+0000",23,53,null,null,null,null,null,null,23,53,983.3
"2021-01-25T13:33:15+00:00",1611581595,"2021-01-25T13:33:15+0000",23,53,18.47,0,207.83,2.85,13.89,13.89,23,53,989.1
"2021-01-25T13:34:15+00:00",1611581655,"2021-01-25T13:34:15+0000",23,52,17.78,0,209.09,1.43,10.21,10.21,23,53,993.6
"2021-01-25T13:35:15+00:00",1611581715,"2021-01-25T13:35:15+0000",23,52,17.9,0,205.77,1.43,8.4,8.4,23,52,996.9
"2021-01-25T13:36:15+00:00",1611581775,"2021-01-25T13:36:15+0000",23,52,17.19,0,244,2.14,10.36,10.36,23,52,999.5
"2021-01-25T13:37:15+00:00",1611581835,"2021-01-25T13:37:15+0000",23,52,16.49,0,220.64,1.43,9.46,9.46,23,52,1001.3
"2021-01-25T13:38:15+00:00",1611581895,"2021-01-25T13:38:15+0000",23,51,13.82,0,227.26,1.43,10.55,10.55,23,51,1002.7
"2021-01-25T13:39:15+00:00",1611581955,"2021-01-25T13:39:15+0000",23,51,14.88,0,223.25,1.43,9.65,9.65,23,51,1003.8
"2021-01-25T13:40:15+00:00",1611582015,"2021-01-25T13:40:15+0000",24,51,13.95,0,216.82,1.43,10.67,10.67,23,51,1004.6
"2021-01-25T13:41:15+00:00",1611582075,"2021-01-25T13:41:15+0000",24,50,13.91,0,236.01,0.71,9.76,9.76,23,51,1005.2
