Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Darley Avenue (44)-Temp(C)-slotB,Darley Avenue (44)-Humidity(%RH)-slotB,Darley Avenue (44)-NO2(ug/m3)-slotB,Darley Avenue (44)-O3(ug/m3)-slotB,Darley Avenue (44)-NO(ug/m3)-slotB,Darley Avenue (44)-PM1(ug/m3)-slotB,Darley Avenue (44)-PM2.5(ug/m3)-slotB,Darley Avenue (44)-PM10(ug/m3)-slotB,Darley Avenue (44)-Ambient temp(C)-slotB,Darley Avenue (44)-Ambient humidity(%RH)-slotB,Darley Avenue (44)-Ambient pressure(hPa)-slotB
"2021-02-15T00:01:53+00:00",1613347313,"2021-02-15T00:01:53+0000",8,84,9.03,52.19,4.24,11.4,11.4,15.69,8,87,1012.3
"2021-02-15T00:02:53+00:00",1613347373,"2021-02-15T00:02:53+0000",8,84,9.25,51.89,9.66,11.4,11.4,16.23,8,87,1012.3
"2021-02-15T00:03:53+00:00",1613347433,"2021-02-15T00:03:53+0000",8,84,8.8,52.24,2.29,12.11,12.11,15.14,8,87,1012.3
"2021-02-15T00:04:53+00:00",1613347493,"2021-02-15T00:04:53+0000",8,84,8.8,52.49,6.88,11.4,11.4,15.69,8,87,1012.4
"2021-02-15T00:05:53+00:00",1613347553,"2021-02-15T00:05:53+0000",8,84,9.47,52.09,6.46,12.83,12.83,17.32,8,87,1012.3
"2021-02-15T00:06:53+00:00",1613347613,"2021-02-15T00:06:53+0000",8,84,8.07,54.64,12.71,12.83,12.83,16.77,8,87,1012.4
"2021-02-15T00:07:53+00:00",1613347673,"2021-02-15T00:07:53+0000",8,84,8.3,53.09,6.57,11.4,11.4,15.69,8,87,1012.3
"2021-02-15T00:09:44+00:00",1613347784,"2021-02-15T00:09:44+0000",8,84,8.07,53.14,14.24,12.11,12.11,15.14,8,87,1012.3
"2021-02-15T00:10:44+00:00",1613347844,"2021-02-15T00:10:44+0000",8,84,8.3,52.34,13.12,12.83,12.83,15.69,8,87,1012.3
"2021-02-15T00:11:44+00:00",1613347904,"2021-02-15T00:11:44+0000",8,84,8.52,51.79,0,12.11,12.11,15.14,8,87,1012.3
"2021-02-15T00:12:44+00:00",1613347964,"2021-02-15T00:12:44+0000",8,84,8.74,51.49,12.84,12.11,12.11,15.14,8,87,1012.3
"2021-02-15T00:13:44+00:00",1613348024,"2021-02-15T00:13:44+0000",8,84,8.74,52.74,8.66,12.11,12.11,16.23,8,87,1012.3
"2021-02-15T00:14:44+00:00",1613348084,"2021-02-15T00:14:44+0000",8,84,8.3,52.34,5.45,11.4,11.4,15.14,8,87,1012.3
