Timestamp(UTC),Timestamp(UTS),Timestamp(Local),Four Banks - Barlow Moor Road (163)-Temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-NO2(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-O3(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-NO(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM1(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM2.5(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-PM10(ug/m3)-slotB,Four Banks - Barlow Moor Road (163)-Ambient temp(C)-slotB,Four Banks - Barlow Moor Road (163)-Ambient humidity(%RH)-slotB,Four Banks - Barlow Moor Road (163)-Ambient pressure(hPa)-slotB
"2021-02-07T00:01:05+00:00",1612656065,"2021-02-07T00:01:05+0000",4,79,5.89,49.06,3.28,3.56,4.02,6.96,4,78,1008.8
"2021-02-07T00:02:05+00:00",1612656125,"2021-02-07T00:02:05+0000",4,79,6.78,48.36,0.26,4.28,5.94,8.11,4,79,1008.8
"2021-02-07T00:03:05+00:00",1612656185,"2021-02-07T00:03:05+0000",4,79,7.89,49.11,9.51,7.13,9.79,12.13,4,78,1008.8
"2021-02-07T00:04:05+00:00",1612656245,"2021-02-07T00:04:05+0000",4,79,9.65,50.96,8.5,4.28,5.27,7.53,4,79,1008.8
"2021-02-07T00:05:05+00:00",1612656305,"2021-02-07T00:05:05+0000",4,79,7.88,43.11,6.29,4.99,7.19,9.25,4,79,1008.9
"2021-02-07T00:06:05+00:00",1612656365,"2021-02-07T00:06:05+0000",4,79,8.98,50.61,6.49,3.56,4.63,6.96,4,79,1008.9
"2021-02-07T00:07:05+00:00",1612656425,"2021-02-07T00:07:05+0000",4,79,7.43,49.21,0,4.28,6.55,8.68,4,79,1008.9
"2021-02-07T00:08:05+00:00",1612656485,"2021-02-07T00:08:05+0000",4,79,7.88,54.36,5.69,4.99,5.27,8.68,4,79,1008.9
"2021-02-07T00:09:05+00:00",1612656545,"2021-02-07T00:09:05+0000",4,79,10.97,50.16,8.5,4.28,5.23,7.53,4,79,1008.9
"2021-02-07T00:10:05+00:00",1612656605,"2021-02-07T00:10:05+0000",4,79,8.96,49.61,5.49,4.99,7.76,10.4,4,79,1008.9
"2021-02-07T00:11:05+00:00",1612656665,"2021-02-07T00:11:05+0000",4,79,9.39,53.26,8.1,3.56,3.89,6.39,4,79,1008.9
"2021-02-07T00:12:05+00:00",1612656725,"2021-02-07T00:12:05+0000",4,79,8.27,50.01,10.11,4.28,5.14,7.53,4,79,1008.8
"2021-02-07T00:13:05+00:00",1612656785,"2021-02-07T00:13:05+0000",4,79,6.5,54.41,0,3.56,4.5,8.1,4,79,1008.8
"2021-02-07T00:14:05+00:00",1612656845,"2021-02-07T00:14:05+0000",4,79,11.82,51.21,14.53,4.28,5.14,7.53,4,79,1008.8
"2021-02-07T00:15:05+00:00",1612656905,"2021-02-07T00:15:05+0000",4,79,9.6,52.71,2.88,5.7,7.04,9.25,4,79,1008.8
"2021-02-07T00:16:05+00:00",1612656965,"2021-02-07T00:16:05+0000",4,79,9.82,51.41,7.5,2.85,4.47,6.96,4,79,1008.8
"2021-02-07T00:17:05+00:00",1612657025,"2021-02-07T00:17:05+0000",4,79,6.93,55.81,0,7.13,8.91,11.53,4,79,1008.8
"2021-02-07T00:18:05+00:00",1612657085,"2021-02-07T00:18:05+0000",4,79,7.15,53.26,1.67,4.99,6.37,8.67,4,79,1008.8
"2021-02-07T00:19:05+00:00",1612657145,"2021-02-07T00:19:05+0000",4,79,7.6,52.16,5.69,4.28,7.64,9.82,4,79,1008.8
"2021-02-07T00:20:05+00:00",1612657205,"2021-02-07T00:20:05+0000",4,79,10.48,51.51,30.61,4.28,6.37,9.82,4,79,1008.8
