"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"442","40","","0","71","03 Mar 2021 11:28:49"
"442","38","","0","63","03 Mar 2021 11:23:49"
"442","38","","0","63","03 Mar 2021 11:18:49"
"442","40","","0","57","03 Mar 2021 11:13:50"
"442","43","","0","55","03 Mar 2021 11:08:48"
"442","41","","0","56","03 Mar 2021 11:03:48"
"442","48","","0","49","03 Mar 2021 10:58:48"
"442","48","","0","49","03 Mar 2021 10:53:48"
"442","41","","0","62","03 Mar 2021 10:48:47"
"442","45","","0","63","03 Mar 2021 10:43:47"
"442","45","","0","63","03 Mar 2021 10:43:04"
"442","49","","0","56","03 Mar 2021 10:41:39"
"442","45","","0","63","03 Mar 2021 10:41:39"
"442","43","","0","30","28 Feb 2021 22:58:50"
"442","48","","0","30","28 Feb 2021 22:53:47"
"442","40","","0","32","28 Feb 2021 22:48:52"
"442","53","","0","25","28 Feb 2021 22:43:46"
"442","37","","0","26","28 Feb 2021 22:38:48"
"442","40","","0","29","28 Feb 2021 22:33:47"
"442","38","","0","30","28 Feb 2021 22:28:45"
"442","41","","0","32","28 Feb 2021 22:23:45"
"442","45","","0","21","28 Feb 2021 22:18:46"
"442","45","","0","21","28 Feb 2021 22:13:45"
"442","41","","0","18","28 Feb 2021 22:08:45"
"442","41","","0","28","28 Feb 2021 22:04:24"
"442","41","","0","26","28 Feb 2021 21:58:51"
"442","46","","0","28","28 Feb 2021 21:53:45"
"442","41","","0","37","28 Feb 2021 21:49:02"
"442","40","","0","46","28 Feb 2021 21:43:59"
"442","49","","0","35","28 Feb 2021 21:38:47"
"442","46","","0","59","28 Feb 2021 21:34:02"
"442","46","","0","59","28 Feb 2021 21:28:47"
"442","38","","0","45","28 Feb 2021 21:23:43"
"442","37","","0","46","28 Feb 2021 21:18:42"
"442","38","","0","72","28 Feb 2021 21:13:42"
"442","38","","0","72","28 Feb 2021 21:08:42"
"442","33","","0","48","28 Feb 2021 21:03:41"
"442","40","","0","48","28 Feb 2021 20:58:40"
"442","45","","0","59","28 Feb 2021 20:53:40"
"442","35","","0","70","28 Feb 2021 20:48:40"
"442","41","","0","60","28 Feb 2021 20:43:41"
"442","41","","0","60","28 Feb 2021 20:38:39"
"442","40","","0","57","28 Feb 2021 20:33:40"
"442","38","","0","63","28 Feb 2021 20:28:39"
"442","38","","0","60","28 Feb 2021 20:23:40"
"442","38","","0","64","28 Feb 2021 20:18:38"
"442","38","","0","64","28 Feb 2021 20:13:36"
"442","40","","0","52","28 Feb 2021 20:08:36"
"442","37","","0","67","28 Feb 2021 20:03:39"
"442","37","","0","67","28 Feb 2021 19:58:36"
"442","40","","0","58","28 Feb 2021 19:53:35"
"442","40","","0","57","28 Feb 2021 19:48:36"
"442","40","","0","66","28 Feb 2021 19:43:35"
"442","40","","0","66","28 Feb 2021 19:38:35"
"442","37","","0","70","28 Feb 2021 19:33:36"
"442","35","","0","60","28 Feb 2021 19:28:34"
"442","40","","0","69","28 Feb 2021 19:23:34"
"442","49","","0","82","28 Feb 2021 19:18:34"
"442","49","","0","82","28 Feb 2021 19:13:34"
"442","48","","0","54","28 Feb 2021 19:08:33"
"442","33","","0","65","28 Feb 2021 19:03:33"
"442","35","","0","75","28 Feb 2021 18:58:33"
"442","38","","0","47","28 Feb 2021 18:53:33"
"442","38","","0","47","28 Feb 2021 18:48:32"
"442","40","","0","56","28 Feb 2021 18:43:34"
"442","37","","0","64","28 Feb 2021 18:38:34"
"442","37","","0","64","28 Feb 2021 18:33:32"
"442","38","","0","80","28 Feb 2021 18:28:32"
"442","41","","0","58","28 Feb 2021 18:23:32"
"442","35","","0","86","28 Feb 2021 18:18:30"
"442","43","","0","73","28 Feb 2021 18:13:33"
"442","40","","0","58","28 Feb 2021 18:08:32"
"442","40","","0","58","28 Feb 2021 18:03:30"
"442","41","","0","75","28 Feb 2021 17:58:28"
"442","45","","0","49","28 Feb 2021 17:53:32"
"442","41","","0","71","28 Feb 2021 17:48:31"
"442","46","","0","68","28 Feb 2021 17:43:32"
"442","38","","0","96","28 Feb 2021 17:38:29"
"442","38","","0","96","28 Feb 2021 17:33:27"
"442","38","","0","68","28 Feb 2021 17:28:29"
"442","43","","0","69","28 Feb 2021 17:23:32"
"442","46","","0","82","28 Feb 2021 17:18:28"
"442","45","","0","90","28 Feb 2021 17:13:28"
"442","45","","0","90","28 Feb 2021 17:08:29"
"442","40","","0","70","28 Feb 2021 17:03:27"
"442","35","","0","97","28 Feb 2021 16:58:26"
"442","35","","0","97","28 Feb 2021 16:53:25"
"442","38","","0","87","28 Feb 2021 16:48:26"
"442","45","","0","68","28 Feb 2021 16:43:25"
"442","41","","0","66","28 Feb 2021 16:38:25"
"442","41","","0","66","28 Feb 2021 16:33:25"
"442","40","","0","82","28 Feb 2021 16:28:24"
"442","41","","0","87","28 Feb 2021 16:23:25"
"442","41","","0","79","28 Feb 2021 16:18:23"
"442","37","","0","88","28 Feb 2021 16:13:24"
"442","37","","0","88","28 Feb 2021 16:08:23"
"442","41","","0","78","28 Feb 2021 16:03:23"
"442","41","","0","96","28 Feb 2021 15:58:22"
"442","41","","0","69","28 Feb 2021 15:53:24"
"442","41","","0","69","28 Feb 2021 15:48:22"
"442","43","","0","75","28 Feb 2021 15:43:26"
"442","43","","0","58","28 Feb 2021 15:38:24"
"442","40","","0","80","28 Feb 2021 15:33:23"
"442","40","","0","80","28 Feb 2021 15:28:21"
"442","40","","0","95","28 Feb 2021 15:23:23"
"442","38","","0","86","28 Feb 2021 15:18:20"
"442","38","","0","86","28 Feb 2021 15:13:20"
"442","40","","0","100","28 Feb 2021 15:08:19"
"442","43","","0","84","28 Feb 2021 15:03:22"
"442","43","","0","84","28 Feb 2021 14:58:18"
"442","43","","0","84","28 Feb 2021 14:53:18"
"442","38","","0","95","28 Feb 2021 14:48:20"
"442","38","","0","95","28 Feb 2021 14:43:17"
"442","37","","0","85","28 Feb 2021 14:38:17"
"442","40","","0","91","28 Feb 2021 14:33:21"
"442","40","","0","91","28 Feb 2021 14:28:18"
"442","43","","0","90","28 Feb 2021 14:23:17"
"442","40","","0","98","28 Feb 2021 14:18:17"
"442","40","","0","98","28 Feb 2021 14:13:19"
"442","41","","0","83","28 Feb 2021 14:08:16"
"442","38","","0","72","28 Feb 2021 14:03:15"
"442","38","","0","72","28 Feb 2021 13:58:18"
"442","45","","0","65","28 Feb 2021 13:53:15"
"442","35","","0","87","28 Feb 2021 13:48:14"
"442","49","","0","56","28 Feb 2021 13:43:17"
"442","49","","0","56","28 Feb 2021 13:38:15"
"442","41","","0","67","28 Feb 2021 13:33:14"
"442","43","","0","67","28 Feb 2021 13:28:13"
"442","43","","0","67","28 Feb 2021 13:23:15"
"442","38","","0","94","28 Feb 2021 13:18:13"
"442","37","","0","87","28 Feb 2021 13:13:13"
"442","37","","0","87","28 Feb 2021 13:08:16"
"442","41","","0","54","28 Feb 2021 13:03:12"
"442","51","","0","65","28 Feb 2021 12:58:13"
"442","51","","0","65","28 Feb 2021 12:53:15"
"442","45","","0","71","28 Feb 2021 12:48:13"
"442","53","","0","49","28 Feb 2021 12:43:12"
"442","53","","0","49","28 Feb 2021 12:38:11"
"442","41","","0","84","28 Feb 2021 12:33:12"
"442","41","","0","84","28 Feb 2021 12:28:10"
"442","41","","0","84","28 Feb 2021 12:23:09"
"442","41","","0","84","28 Feb 2021 12:18:08"
"442","41","","0","84","28 Feb 2021 12:13:09"
"442","41","","0","84","28 Feb 2021 12:08:08"
"442","38","","0","54","28 Feb 2021 12:03:09"
"442","38","","0","54","28 Feb 2021 11:58:07"
"442","41","","0","66","28 Feb 2021 11:53:08"
"442","45","","0","47","28 Feb 2021 11:48:07"
"442","45","","0","47","28 Feb 2021 11:43:07"
"442","45","","0","56","28 Feb 2021 11:38:07"
"442","43","","0","47","28 Feb 2021 11:33:06"
"442","41","","0","51","28 Feb 2021 11:28:06"
"442","41","","0","51","28 Feb 2021 11:23:06"
"442","41","","0","64","28 Feb 2021 11:18:05"
"442","48","","0","53","28 Feb 2021 11:13:05"
"442","37","","0","53","28 Feb 2021 11:08:04"
"442","43","","0","38","28 Feb 2021 11:03:04"
"442","54","","0","36","28 Feb 2021 10:58:04"
"442","54","","0","36","28 Feb 2021 10:53:04"
"442","40","","0","54","28 Feb 2021 10:48:03"
"442","33","","0","46","28 Feb 2021 10:43:04"
"442","38","","0","40","28 Feb 2021 10:38:03"
"442","33","","0","59","28 Feb 2021 10:33:02"
"442","33","","0","59","28 Feb 2021 10:28:01"
"442","37","","0","34","28 Feb 2021 10:23:01"
"442","41","","0","46","28 Feb 2021 10:18:01"
"442","38","","0","37","28 Feb 2021 10:13:00"
"442","49","","0","36","28 Feb 2021 10:08:01"
"442","38","","0","41","28 Feb 2021 10:03:02"
"442","48","","0","44","28 Feb 2021 09:57:59"
"442","48","","0","44","28 Feb 2021 09:52:59"
"442","38","","0","44","28 Feb 2021 09:47:59"
"442","43","","0","28","28 Feb 2021 09:42:58"
"442","41","","0","33","28 Feb 2021 09:37:58"
"442","40","","0","26","28 Feb 2021 09:32:58"
"442","40","","0","26","28 Feb 2021 09:27:58"
"442","38","","0","25","28 Feb 2021 09:22:57"
"442","40","","0","23","28 Feb 2021 09:17:57"
"442","38","","0","20","28 Feb 2021 09:12:57"
"442","38","","0","20","28 Feb 2021 09:07:56"
"442","43","","0","23","28 Feb 2021 09:02:57"
"442","40","","0","12","28 Feb 2021 08:57:56"
"442","80","","0","14","28 Feb 2021 08:52:56"
"442","35","","0","22","28 Feb 2021 08:47:56"
"442","45","","0","22","28 Feb 2021 08:42:56"
"442","45","","0","22","28 Feb 2021 08:37:55"
"442","41","","0","19","28 Feb 2021 08:32:55"
"442","41","","0","19","28 Feb 2021 08:27:59"
"442","40","","0","24","28 Feb 2021 08:22:56"
"442","38","","0","27","28 Feb 2021 08:17:56"
"442","40","","0","27","28 Feb 2021 08:12:54"
"442","35","","0","27","28 Feb 2021 08:07:57"
"442","35","","0","27","28 Feb 2021 08:02:53"
"442","43","","0","26","28 Feb 2021 07:57:53"
"442","51","","0","30","28 Feb 2021 07:52:56"
"442","40","","0","30","28 Feb 2021 07:47:55"
"442","46","","0","31","28 Feb 2021 07:42:52"
"442","46","","0","31","28 Feb 2021 07:37:55"
"442","43","","0","38","28 Feb 2021 07:32:54"
"442","41","","0","22","28 Feb 2021 07:27:50"
"442","41","","0","22","28 Feb 2021 07:22:54"
"442","45","","0","30","28 Feb 2021 07:17:52"
"442","46","","0","19","28 Feb 2021 07:12:51"
"442","41","","0","12","28 Feb 2021 07:07:49"
"442","80","","0","17","28 Feb 2021 07:02:49"
"442","80","","0","17","28 Feb 2021 06:57:51"
"442","48","","0","22","28 Feb 2021 06:52:48"
"442","80","","0","16","28 Feb 2021 06:47:49"
"442","41","","0","4","28 Feb 2021 06:42:49"
"442","80","","0","11","28 Feb 2021 06:37:47"
"442","80","","0","11","28 Feb 2021 06:32:48"
"442","80","","0","11","28 Feb 2021 06:27:47"
"442","80","","0","9","28 Feb 2021 06:22:47"
"442","53","","0","8","28 Feb 2021 06:17:46"
"442","80","","0","14","28 Feb 2021 06:12:46"
"442","80","","0","14","28 Feb 2021 06:07:46"
"442","80","","0","10","28 Feb 2021 06:02:45"
"442","80","","0","6","28 Feb 2021 05:57:43"
"442","80","","0","3","28 Feb 2021 05:52:43"
"442","80","","0","6","28 Feb 2021 05:47:43"
"442","41","","0","8","28 Feb 2021 05:42:42"
"442","41","","0","8","28 Feb 2021 05:37:42"
"442","80","","0","3","28 Feb 2021 05:32:41"
"442","41","","0","4","28 Feb 2021 05:27:40"
"442","80","","0","9","28 Feb 2021 05:22:41"
"442","80","","0","4","28 Feb 2021 05:17:41"
"442","80","","0","9","28 Feb 2021 05:12:40"
"442","80","","0","9","28 Feb 2021 05:07:40"
"442","35","","0","8","28 Feb 2021 05:02:41"
"442","80","","0","8","28 Feb 2021 04:57:38"
"442","41","","0","5","28 Feb 2021 04:52:38"
"442","35","","0","9","28 Feb 2021 04:47:41"
"442","35","","0","9","28 Feb 2021 04:42:39"
"442","80","","0","6","28 Feb 2021 04:37:39"
"442","80","","0","3","28 Feb 2021 04:32:41"
"442","80","","0","4","28 Feb 2021 04:27:37"
"442","80","","0","4","28 Feb 2021 04:22:36"
"442","80","","0","4","28 Feb 2021 04:17:35"
"442","80","","0","5","28 Feb 2021 04:12:40"
"442","80","","0","8","28 Feb 2021 04:07:37"
"442","80","","0","5","28 Feb 2021 04:02:35"
"442","80","","0","11","28 Feb 2021 03:57:36"
"442","80","","0","5","28 Feb 2021 03:53:04"
"442","80","","0","7","28 Feb 2021 03:47:35"
"442","80","","0","4","28 Feb 2021 03:43:08"
"442","80","","0","1","28 Feb 2021 03:37:50"
"442","80","","0","1","28 Feb 2021 03:32:36"
"442","40","","0","11","28 Feb 2021 03:27:39"
"442","80","","0","9","28 Feb 2021 03:22:37"
"442","80","","0","8","28 Feb 2021 03:17:32"
"442","80","","0","8","28 Feb 2021 03:12:33"
"442","32","","0","15","28 Feb 2021 03:07:31"
"442","80","","0","7","28 Feb 2021 03:02:36"
"442","30","","0","8","28 Feb 2021 02:57:32"
"442","30","","0","8","28 Feb 2021 02:52:30"
"442","41","","0","11","28 Feb 2021 02:47:29"
"442","41","","0","11","28 Feb 2021 02:42:35"
"442","41","","0","11","28 Feb 2021 02:37:29"
"442","48","","0","14","28 Feb 2021 02:32:28"
"442","48","","0","14","28 Feb 2021 02:27:27"
"442","46","","0","18","28 Feb 2021 02:22:27"
"442","46","","0","18","28 Feb 2021 02:17:27"
"442","33","","0","17","28 Feb 2021 02:12:28"
"442","33","","0","17","28 Feb 2021 02:07:25"
"442","53","","0","12","28 Feb 2021 02:02:26"
"442","53","","0","12","28 Feb 2021 01:57:26"
