"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"451","43","","0","61","03 Mar 2021 11:33:49"
"451","46","","0","67","03 Mar 2021 11:28:49"
"451","38","","0","51","03 Mar 2021 11:23:49"
"451","38","","0","51","03 Mar 2021 11:18:49"
"451","45","","0","59","03 Mar 2021 11:13:50"
"451","45","","0","52","03 Mar 2021 11:08:48"
"451","46","","0","48","03 Mar 2021 11:03:48"
"451","37","","0","50","03 Mar 2021 10:58:48"
"451","37","","0","50","03 Mar 2021 10:53:48"
"451","49","","0","66","03 Mar 2021 10:48:47"
"451","46","","0","51","03 Mar 2021 10:43:47"
"451","46","","0","51","03 Mar 2021 10:43:04"
"451","45","","0","56","03 Mar 2021 10:41:39"
"451","46","","0","51","03 Mar 2021 10:41:39"
"451","48","","0","18","28 Feb 2021 22:58:50"
"451","53","","0","26","28 Feb 2021 22:53:47"
"451","53","","0","21","28 Feb 2021 22:48:52"
"451","53","","0","20","28 Feb 2021 22:43:46"
"451","61","","0","20","28 Feb 2021 22:38:48"
"451","43","","0","16","28 Feb 2021 22:33:47"
"451","48","","0","23","28 Feb 2021 22:28:45"
"451","46","","0","17","28 Feb 2021 22:23:45"
"451","53","","0","16","28 Feb 2021 22:18:46"
"451","53","","0","16","28 Feb 2021 22:13:45"
"451","49","","0","17","28 Feb 2021 22:08:45"
"451","48","","0","26","28 Feb 2021 22:04:24"
"451","51","","0","15","28 Feb 2021 21:58:51"
"451","56","","0","30","28 Feb 2021 21:53:45"
"451","53","","0","27","28 Feb 2021 21:49:02"
"451","51","","0","30","28 Feb 2021 21:43:59"
"451","45","","0","32","28 Feb 2021 21:38:47"
"451","46","","0","36","28 Feb 2021 21:34:02"
"451","46","","0","36","28 Feb 2021 21:28:47"
"451","49","","0","32","28 Feb 2021 21:23:43"
"451","46","","0","50","28 Feb 2021 21:18:42"
"451","51","","0","46","28 Feb 2021 21:13:42"
"451","51","","0","46","28 Feb 2021 21:08:42"
"451","48","","0","34","28 Feb 2021 21:03:41"
"451","48","","0","43","28 Feb 2021 20:58:40"
"451","46","","0","44","28 Feb 2021 20:53:40"
"451","40","","0","53","28 Feb 2021 20:48:40"
"451","43","","0","48","28 Feb 2021 20:43:41"
"451","43","","0","48","28 Feb 2021 20:38:39"
"451","46","","0","45","28 Feb 2021 20:33:40"
"451","46","","0","47","28 Feb 2021 20:28:39"
