"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"1896","45","","0","143","03 Mar 2021 11:38:50"
"1896","45","","0","143","03 Mar 2021 11:33:49"
"1896","45","","0","143","03 Mar 2021 11:28:48"
"1896","45","","0","143","03 Mar 2021 11:23:48"
"1896","45","","0","143","03 Mar 2021 11:18:48"
"1896","45","","0","143","03 Mar 2021 11:13:49"
"1896","45","","0","143","03 Mar 2021 11:08:48"
"1896","45","","0","143","03 Mar 2021 11:03:47"
"1896","45","","0","143","03 Mar 2021 10:58:48"
"1896","45","","0","143","03 Mar 2021 10:53:48"
"1896","45","","0","143","03 Mar 2021 10:48:46"
"1896","45","","0","143","03 Mar 2021 10:43:47"
"1896","45","","0","143","03 Mar 2021 10:43:03"
"1896","45","","0","143","03 Mar 2021 10:40:51"
"1896","45","","0","143","03 Mar 2021 10:38:53"
"1896","45","","0","143","28 Feb 2021 22:58:49"
"1896","45","","0","143","28 Feb 2021 22:53:46"
"1896","45","","0","143","28 Feb 2021 22:48:46"
"1896","45","","0","143","28 Feb 2021 22:43:45"
"1896","45","","0","143","28 Feb 2021 22:38:46"
"1896","45","","0","143","28 Feb 2021 22:33:46"
"1896","45","","0","143","28 Feb 2021 22:28:44"
"1896","45","","0","143","28 Feb 2021 22:23:44"
"1896","45","","0","143","28 Feb 2021 22:18:44"
"1896","45","","0","143","28 Feb 2021 22:13:44"
"1896","45","","0","143","28 Feb 2021 22:08:44"
"1896","45","","0","143","28 Feb 2021 22:03:46"
"1896","45","","0","143","28 Feb 2021 21:58:47"
"1896","45","","0","143","28 Feb 2021 21:53:44"
"1896","45","","0","143","28 Feb 2021 21:48:45"
"1896","45","","0","143","28 Feb 2021 21:43:48"
"1896","45","","0","143","28 Feb 2021 21:38:43"
"1896","45","","0","143","28 Feb 2021 21:33:47"
"1896","45","","0","143","28 Feb 2021 21:28:45"
"1896","45","","0","143","28 Feb 2021 21:23:42"
"1896","45","","0","143","28 Feb 2021 21:18:42"
"1896","45","","0","143","28 Feb 2021 21:13:42"
"1896","45","","0","143","28 Feb 2021 21:08:41"
"1896","45","","0","143","28 Feb 2021 21:03:41"
"1896","45","","0","143","28 Feb 2021 20:58:40"
"1896","45","","0","143","28 Feb 2021 20:53:40"
"1896","45","","0","143","28 Feb 2021 20:48:40"
"1896","45","","0","143","28 Feb 2021 20:43:40"
"1896","45","","0","143","28 Feb 2021 20:38:39"
"1896","45","","0","143","28 Feb 2021 20:33:39"
"1896","45","","0","143","28 Feb 2021 20:28:39"
"1896","45","","0","143","28 Feb 2021 20:23:39"
"1896","45","","0","143","28 Feb 2021 20:18:36"
"1896","45","","0","143","28 Feb 2021 20:13:35"
"1896","45","","0","143","28 Feb 2021 20:08:36"
"1896","45","","0","143","28 Feb 2021 20:03:36"
"1896","45","","0","143","28 Feb 2021 19:58:35"
"1896","45","","0","143","28 Feb 2021 19:53:35"
"1896","45","","0","143","28 Feb 2021 19:48:34"
"1896","45","","0","143","28 Feb 2021 19:43:34"
"1896","45","","0","143","28 Feb 2021 19:38:35"
"1896","45","","0","143","28 Feb 2021 19:33:35"
"1896","45","","0","143","28 Feb 2021 19:28:33"
"1896","45","","0","143","28 Feb 2021 19:23:34"
"1896","45","","0","143","28 Feb 2021 19:18:33"
"1896","45","","0","143","28 Feb 2021 19:13:33"
"1896","45","","0","143","28 Feb 2021 19:08:33"
"1896","45","","0","143","28 Feb 2021 19:03:33"
"1896","45","","0","143","28 Feb 2021 18:58:32"
"1896","45","","0","143","28 Feb 2021 18:53:32"
"1896","45","","0","143","28 Feb 2021 18:48:32"
"1896","45","","0","143","28 Feb 2021 18:43:32"
"1896","45","","0","143","28 Feb 2021 18:38:32"
"1896","45","","0","143","28 Feb 2021 18:33:31"
"1896","45","","0","143","28 Feb 2021 18:28:32"
"1896","45","","0","143","28 Feb 2021 18:23:30"
"1896","45","","0","143","28 Feb 2021 18:18:29"
"1896","45","","0","143","28 Feb 2021 18:13:29"
"1896","45","","0","143","28 Feb 2021 18:08:30"
"1896","45","","0","143","28 Feb 2021 18:03:29"
"1896","45","","0","143","28 Feb 2021 17:58:28"
"1896","45","","0","143","28 Feb 2021 17:53:31"
"1896","45","","0","143","28 Feb 2021 17:48:29"
"1896","45","","0","143","28 Feb 2021 17:43:29"
"1896","45","","0","143","28 Feb 2021 17:38:28"
"1896","45","","0","143","28 Feb 2021 17:33:27"
"1896","45","","0","143","28 Feb 2021 17:28:27"
"1896","45","","0","143","28 Feb 2021 17:23:30"
"1896","45","","0","143","28 Feb 2021 17:18:27"
"1896","45","","0","143","28 Feb 2021 17:13:27"
"1896","45","","0","143","28 Feb 2021 17:08:27"
"1896","45","","0","143","28 Feb 2021 17:03:26"
"1896","45","","0","143","28 Feb 2021 16:58:25"
"1896","45","","0","143","28 Feb 2021 16:53:25"
"1896","45","","0","143","28 Feb 2021 16:48:25"
"1896","45","","0","143","28 Feb 2021 16:43:25"
"1896","45","","0","143","28 Feb 2021 16:38:24"
"1896","45","","0","143","28 Feb 2021 16:33:24"
"1896","45","","0","143","28 Feb 2021 16:28:24"
"1896","45","","0","143","28 Feb 2021 16:23:24"
"1896","45","","0","143","28 Feb 2021 16:18:23"
"1896","45","","0","143","28 Feb 2021 16:13:23"
"1896","45","","0","143","28 Feb 2021 16:08:23"
"1896","45","","0","143","28 Feb 2021 16:03:23"
"1896","45","","0","143","28 Feb 2021 15:58:22"
"1896","45","","0","143","28 Feb 2021 15:53:22"
"1896","45","","0","143","28 Feb 2021 15:48:22"
"1896","45","","0","143","28 Feb 2021 15:43:23"
"1896","45","","0","143","28 Feb 2021 15:38:21"
"1896","45","","0","143","28 Feb 2021 15:33:21"
"1896","45","","0","143","28 Feb 2021 15:28:20"
"1896","45","","0","143","28 Feb 2021 15:23:20"
"1896","45","","0","143","28 Feb 2021 15:18:19"
"1896","45","","0","143","28 Feb 2021 15:13:19"
"1896","45","","0","143","28 Feb 2021 15:08:19"
"1896","45","","0","143","28 Feb 2021 15:03:20"
"1896","45","","0","143","28 Feb 2021 14:58:18"
"1896","45","","0","143","28 Feb 2021 14:53:18"
"1896","45","","0","143","28 Feb 2021 14:48:18"
"1896","45","","0","143","28 Feb 2021 14:43:17"
"1896","45","","0","143","28 Feb 2021 14:38:17"
"1896","45","","0","143","28 Feb 2021 14:33:19"
"1896","45","","0","143","28 Feb 2021 14:28:16"
"1896","45","","0","143","28 Feb 2021 14:23:16"
"1896","45","","0","143","28 Feb 2021 14:18:16"
"1896","45","","0","143","28 Feb 2021 14:13:16"
"1896","45","","0","143","28 Feb 2021 14:08:15"
"1896","45","","0","143","28 Feb 2021 14:03:15"
"1896","45","","0","143","28 Feb 2021 13:58:16"
"1896","45","","0","143","28 Feb 2021 13:53:14"
"1896","45","","0","143","28 Feb 2021 13:48:14"
"1896","45","","0","143","28 Feb 2021 13:43:16"
"1896","45","","0","143","28 Feb 2021 13:38:13"
"1896","45","","0","143","28 Feb 2021 13:33:13"
"1896","45","","0","143","28 Feb 2021 13:28:13"
"1896","45","","0","143","28 Feb 2021 13:23:13"
"1896","45","","0","143","28 Feb 2021 13:18:12"
"1896","45","","0","143","28 Feb 2021 13:13:12"
"1896","45","","0","143","28 Feb 2021 13:08:13"
"1896","45","","0","143","28 Feb 2021 13:03:11"
"1896","45","","0","143","28 Feb 2021 12:58:13"
"1896","45","","0","143","28 Feb 2021 12:53:13"
"1896","45","","0","143","28 Feb 2021 12:48:10"
"1896","45","","0","143","28 Feb 2021 12:43:10"
"1896","45","","0","143","28 Feb 2021 12:38:10"
"1896","45","","0","143","28 Feb 2021 12:33:10"
"1896","45","","0","143","28 Feb 2021 12:28:09"
"1896","45","","0","143","28 Feb 2021 12:23:09"
"1896","45","","0","143","28 Feb 2021 12:18:08"
"1896","45","","0","143","28 Feb 2021 12:13:08"
"1896","45","","0","143","28 Feb 2021 12:08:08"
"1896","45","","0","143","28 Feb 2021 12:03:08"
"1896","45","","0","143","28 Feb 2021 11:58:07"
"1896","45","","0","143","28 Feb 2021 11:53:07"
"1896","45","","0","143","28 Feb 2021 11:48:06"
"1896","45","","0","143","28 Feb 2021 11:43:07"
"1896","45","","0","143","28 Feb 2021 11:38:06"
"1896","45","","0","143","28 Feb 2021 11:33:06"
"1896","45","","0","143","28 Feb 2021 11:28:05"
"1896","45","","0","143","28 Feb 2021 11:23:06"
"1896","45","","0","143","28 Feb 2021 11:18:05"
"1896","45","","0","143","28 Feb 2021 11:13:04"
"1896","45","","0","143","28 Feb 2021 11:08:04"
"1896","45","","0","143","28 Feb 2021 11:03:04"
"1896","45","","0","143","28 Feb 2021 10:58:03"
"1896","45","","0","143","28 Feb 2021 10:53:03"
"1896","45","","0","143","28 Feb 2021 10:48:03"
"1896","45","","0","143","28 Feb 2021 10:43:03"
"1896","45","","0","143","28 Feb 2021 10:38:02"
"1896","45","","0","143","28 Feb 2021 10:33:01"
"1896","45","","0","143","28 Feb 2021 10:28:01"
"1896","45","","0","143","28 Feb 2021 10:23:00"
"1896","45","","0","143","28 Feb 2021 10:18:00"
"1896","45","","0","143","28 Feb 2021 10:12:59"
"1896","45","","0","143","28 Feb 2021 10:08:01"
"1896","45","","0","143","28 Feb 2021 10:03:02"
"1896","45","","0","143","28 Feb 2021 09:57:59"
"1896","45","","0","143","28 Feb 2021 09:52:58"
"1896","45","","0","143","28 Feb 2021 09:47:58"
"1896","45","","0","143","28 Feb 2021 09:42:58"
"1896","45","","0","143","28 Feb 2021 09:37:57"
"1896","45","","0","143","28 Feb 2021 09:32:57"
"1896","45","","0","143","28 Feb 2021 09:27:57"
"1896","45","","0","143","28 Feb 2021 09:22:56"
"1896","45","","0","143","28 Feb 2021 09:17:57"
"1896","45","","0","143","28 Feb 2021 09:12:56"
"1896","45","","0","143","28 Feb 2021 09:07:56"
"1896","45","","0","143","28 Feb 2021 09:02:56"
"1896","45","","0","143","28 Feb 2021 08:57:55"
"1896","45","","0","143","28 Feb 2021 08:52:55"
"1896","45","","0","143","28 Feb 2021 08:47:55"
"1896","45","","0","143","28 Feb 2021 08:42:55"
"1896","45","","0","143","28 Feb 2021 08:37:54"
"1896","45","","0","143","28 Feb 2021 08:32:55"
"1896","45","","0","143","28 Feb 2021 08:27:56"
"1896","45","","0","143","28 Feb 2021 08:22:54"
"1896","45","","0","143","28 Feb 2021 08:17:55"
"1896","45","","0","143","28 Feb 2021 08:12:53"
"1896","45","","0","143","28 Feb 2021 08:07:54"
"1896","45","","0","143","28 Feb 2021 08:02:52"
"1896","45","","0","143","28 Feb 2021 07:57:52"
"1896","45","","0","143","28 Feb 2021 07:52:54"
"1896","45","","0","143","28 Feb 2021 07:47:53"
"1896","45","","0","143","28 Feb 2021 07:42:52"
"1896","45","","0","143","28 Feb 2021 07:37:53"
"1896","45","","0","143","28 Feb 2021 07:32:51"
"1896","45","","0","143","28 Feb 2021 07:27:50"
"1896","45","","0","143","28 Feb 2021 07:22:52"
"1896","45","","0","143","28 Feb 2021 07:17:50"
"1896","45","","0","143","28 Feb 2021 07:12:49"
"1896","45","","0","143","28 Feb 2021 07:07:49"
"1896","45","","0","143","28 Feb 2021 07:02:49"
"1896","45","","0","143","28 Feb 2021 06:57:49"
"1896","45","","0","143","28 Feb 2021 06:52:48"
"1896","45","","0","143","28 Feb 2021 06:47:48"
"1896","45","","0","143","28 Feb 2021 06:42:49"
"1896","45","","0","143","28 Feb 2021 06:37:46"
"1896","45","","0","143","28 Feb 2021 06:32:48"
"1896","45","","0","143","28 Feb 2021 06:27:47"
"1896","45","","0","143","28 Feb 2021 06:22:46"
"1896","45","","0","143","28 Feb 2021 06:17:45"
"1896","45","","0","143","28 Feb 2021 06:12:45"
"1896","45","","0","143","28 Feb 2021 06:07:45"
"1896","45","","0","143","28 Feb 2021 06:02:44"
"1896","45","","0","143","28 Feb 2021 05:57:43"
"1896","45","","0","143","28 Feb 2021 05:52:43"
"1896","45","","0","143","28 Feb 2021 05:47:42"
"1896","45","","0","143","28 Feb 2021 05:42:42"
"1896","45","","0","143","28 Feb 2021 05:37:41"
"1896","45","","0","143","28 Feb 2021 05:32:41"
"1896","45","","0","143","28 Feb 2021 05:27:40"
"1896","45","","0","143","28 Feb 2021 05:22:40"
"1896","45","","0","143","28 Feb 2021 05:17:40"
"1896","45","","0","143","28 Feb 2021 05:12:39"
"1896","45","","0","143","28 Feb 2021 05:07:39"
"1896","45","","0","143","28 Feb 2021 05:02:39"
"1896","45","","0","143","28 Feb 2021 04:57:38"
"1896","45","","0","143","28 Feb 2021 04:52:38"
