"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"475","43","","0","45","03 Mar 2021 11:43:51"
"475","43","","0","45","03 Mar 2021 11:38:50"
"475","43","","0","45","03 Mar 2021 11:33:49"
"475","43","","0","45","03 Mar 2021 11:28:49"
"475","43","","0","45","03 Mar 2021 11:23:49"
"475","43","","0","45","03 Mar 2021 11:18:49"
"475","43","","0","45","03 Mar 2021 11:13:50"
"475","43","","0","45","03 Mar 2021 11:08:48"
"475","43","","0","45","03 Mar 2021 11:03:48"
"475","43","","0","45","03 Mar 2021 10:58:48"
"475","43","","0","45","03 Mar 2021 10:53:48"
"475","43","","0","45","03 Mar 2021 10:48:47"
"475","43","","0","45","03 Mar 2021 10:43:47"
"475","43","","0","45","03 Mar 2021 10:43:04"
"475","43","","0","45","03 Mar 2021 10:41:34"
"475","43","","0","45","03 Mar 2021 10:41:34"
"475","43","","0","45","28 Feb 2021 22:58:50"
"475","43","","0","45","28 Feb 2021 22:53:47"
"475","43","","0","45","28 Feb 2021 22:48:52"
"475","43","","0","45","28 Feb 2021 22:43:46"
"475","43","","0","45","28 Feb 2021 22:38:48"
"475","43","","0","45","28 Feb 2021 22:33:47"
"475","43","","0","45","28 Feb 2021 22:28:45"
"475","43","","0","45","28 Feb 2021 22:23:45"
"475","43","","0","45","28 Feb 2021 22:18:46"
"475","43","","0","45","28 Feb 2021 22:13:45"
"475","43","","0","45","28 Feb 2021 22:08:45"
"475","43","","0","45","28 Feb 2021 22:04:23"
"475","43","","0","45","28 Feb 2021 21:58:51"
"475","43","","0","45","28 Feb 2021 21:53:45"
"475","43","","0","45","28 Feb 2021 21:49:02"
"475","43","","0","45","28 Feb 2021 21:43:59"
"475","43","","0","45","28 Feb 2021 21:38:47"
"475","43","","0","45","28 Feb 2021 21:34:02"
"475","43","","0","45","28 Feb 2021 21:28:46"
"475","43","","0","45","28 Feb 2021 21:23:43"
"475","43","","0","45","28 Feb 2021 21:18:42"
"475","43","","0","45","28 Feb 2021 21:13:42"
"475","43","","0","45","28 Feb 2021 21:08:42"
"475","43","","0","45","28 Feb 2021 21:03:41"
"475","43","","0","45","28 Feb 2021 20:58:40"
"475","43","","0","45","28 Feb 2021 20:53:40"
"475","43","","0","45","28 Feb 2021 20:48:40"
"475","43","","0","45","28 Feb 2021 20:43:40"
"475","43","","0","45","28 Feb 2021 20:38:39"
"475","43","","0","45","28 Feb 2021 20:33:40"
"475","43","","0","45","28 Feb 2021 20:28:39"
"475","43","","0","45","28 Feb 2021 20:23:40"
"475","43","","0","45","28 Feb 2021 20:18:38"
"475","43","","0","45","28 Feb 2021 20:13:36"
"475","43","","0","45","28 Feb 2021 20:08:36"
"475","43","","0","45","28 Feb 2021 20:03:38"
"475","43","","0","45","28 Feb 2021 19:58:36"
"475","43","","0","45","28 Feb 2021 19:53:35"
"475","43","","0","45","28 Feb 2021 19:48:36"
"475","43","","0","45","28 Feb 2021 19:43:35"
"475","43","","0","45","28 Feb 2021 19:38:35"
"475","43","","0","45","28 Feb 2021 19:33:36"
"475","43","","0","45","28 Feb 2021 19:28:34"
"475","43","","0","45","28 Feb 2021 19:23:34"
"475","43","","0","45","28 Feb 2021 19:18:34"
"475","43","","0","45","28 Feb 2021 19:13:34"
"475","43","","0","45","28 Feb 2021 19:08:33"
"475","43","","0","45","28 Feb 2021 19:03:33"
"475","43","","0","45","28 Feb 2021 18:58:33"
"475","43","","0","45","28 Feb 2021 18:53:33"
"475","43","","0","45","28 Feb 2021 18:48:32"
"475","43","","0","45","28 Feb 2021 18:43:34"
"475","43","","0","45","28 Feb 2021 18:38:33"
"475","43","","0","45","28 Feb 2021 18:33:32"
"475","43","","0","45","28 Feb 2021 18:28:32"
"475","43","","0","45","28 Feb 2021 18:23:32"
"475","43","","0","45","28 Feb 2021 18:18:30"
"475","43","","0","45","28 Feb 2021 18:13:33"
"475","43","","0","45","28 Feb 2021 18:08:32"
"475","43","","0","45","28 Feb 2021 18:03:30"
"475","43","","0","45","28 Feb 2021 17:58:28"
"475","43","","0","45","28 Feb 2021 17:53:32"
"475","43","","0","45","28 Feb 2021 17:48:31"
"475","43","","0","45","28 Feb 2021 17:43:32"
"475","43","","0","45","28 Feb 2021 17:38:29"
"475","43","","0","45","28 Feb 2021 17:33:27"
"475","43","","0","45","28 Feb 2021 17:28:29"
"475","43","","0","45","28 Feb 2021 17:23:32"
"475","43","","0","45","28 Feb 2021 17:18:28"
"475","43","","0","45","28 Feb 2021 17:13:28"
"475","43","","0","45","28 Feb 2021 17:08:29"
"475","43","","0","45","28 Feb 2021 17:03:27"
"475","43","","0","45","28 Feb 2021 16:58:26"
"475","43","","0","45","28 Feb 2021 16:53:25"
"475","43","","0","45","28 Feb 2021 16:48:26"
"475","43","","0","45","28 Feb 2021 16:43:25"
"475","43","","0","45","28 Feb 2021 16:38:25"
"475","43","","0","45","28 Feb 2021 16:33:25"
"475","43","","0","45","28 Feb 2021 16:28:24"
"475","43","","0","45","28 Feb 2021 16:23:25"
"475","43","","0","45","28 Feb 2021 16:18:23"
"475","43","","0","45","28 Feb 2021 16:13:24"
"475","43","","0","45","28 Feb 2021 16:08:23"
"475","43","","0","45","28 Feb 2021 16:03:23"
"475","43","","0","45","28 Feb 2021 15:58:22"
"475","43","","0","45","28 Feb 2021 15:53:24"
"475","43","","0","45","28 Feb 2021 15:48:22"
"475","43","","0","45","28 Feb 2021 15:43:26"
"475","43","","0","45","28 Feb 2021 15:38:24"
"475","43","","0","45","28 Feb 2021 15:33:23"
"475","43","","0","45","28 Feb 2021 15:28:21"
"475","43","","0","45","28 Feb 2021 15:23:23"
"475","43","","0","45","28 Feb 2021 15:18:20"
"475","43","","0","45","28 Feb 2021 15:13:20"
"475","43","","0","45","28 Feb 2021 15:08:19"
"475","43","","0","45","28 Feb 2021 15:03:22"
"475","43","","0","45","28 Feb 2021 14:58:18"
"475","43","","0","45","28 Feb 2021 14:53:18"
"475","43","","0","45","28 Feb 2021 14:48:20"
"475","43","","0","45","28 Feb 2021 14:43:17"
"475","43","","0","45","28 Feb 2021 14:38:17"
"475","43","","0","45","28 Feb 2021 14:33:21"
"475","43","","0","45","28 Feb 2021 14:28:18"
"475","43","","0","45","28 Feb 2021 14:23:17"
"475","43","","0","45","28 Feb 2021 14:18:17"
"475","43","","0","45","28 Feb 2021 14:13:19"
"475","43","","0","45","28 Feb 2021 14:08:16"
"475","43","","0","45","28 Feb 2021 14:03:15"
"475","43","","0","45","28 Feb 2021 13:58:18"
"475","43","","0","45","28 Feb 2021 13:53:15"
"475","43","","0","45","28 Feb 2021 13:48:14"
"475","43","","0","45","28 Feb 2021 13:43:17"
"475","43","","0","45","28 Feb 2021 13:38:14"
"475","43","","0","45","28 Feb 2021 13:33:14"
"475","43","","0","45","28 Feb 2021 13:28:13"
"475","43","","0","45","28 Feb 2021 13:23:14"
"475","43","","0","45","28 Feb 2021 13:18:13"
"475","43","","0","45","28 Feb 2021 13:13:13"
"475","43","","0","45","28 Feb 2021 13:08:16"
"475","43","","0","45","28 Feb 2021 13:03:12"
"475","43","","0","45","28 Feb 2021 12:58:13"
"475","43","","0","45","28 Feb 2021 12:53:15"
"475","43","","0","45","28 Feb 2021 12:48:13"
"475","43","","0","45","28 Feb 2021 12:43:12"
"475","43","","0","45","28 Feb 2021 12:38:11"
"475","43","","0","45","28 Feb 2021 12:33:12"
"475","43","","0","45","28 Feb 2021 12:28:10"
"475","43","","0","45","28 Feb 2021 12:23:09"
"475","43","","0","45","28 Feb 2021 12:18:08"
"475","43","","0","45","28 Feb 2021 12:13:09"
"475","43","","0","45","28 Feb 2021 12:08:08"
"475","43","","0","45","28 Feb 2021 12:03:09"
"475","43","","0","45","28 Feb 2021 11:58:07"
"475","43","","0","45","28 Feb 2021 11:53:08"
"475","43","","0","45","28 Feb 2021 11:48:07"
"475","43","","0","45","28 Feb 2021 11:43:07"
"475","43","","0","45","28 Feb 2021 11:38:07"
"475","43","","0","45","28 Feb 2021 11:33:06"
"475","43","","0","45","28 Feb 2021 11:28:06"
"475","43","","0","45","28 Feb 2021 11:23:06"
"475","43","","0","45","28 Feb 2021 11:18:05"
"475","43","","0","45","28 Feb 2021 11:13:05"
"475","43","","0","45","28 Feb 2021 11:08:04"
"475","43","","0","45","28 Feb 2021 11:03:04"
"475","43","","0","45","28 Feb 2021 10:58:04"
"475","43","","0","45","28 Feb 2021 10:53:04"
"475","43","","0","45","28 Feb 2021 10:48:03"
"475","43","","0","45","28 Feb 2021 10:43:04"
"475","43","","0","45","28 Feb 2021 10:38:03"
"475","43","","0","45","28 Feb 2021 10:33:02"
"475","43","","0","45","28 Feb 2021 10:28:01"
"475","43","","0","45","28 Feb 2021 10:23:01"
"475","43","","0","45","28 Feb 2021 10:18:01"
"475","43","","0","45","28 Feb 2021 10:13:00"
"475","43","","0","45","28 Feb 2021 10:08:01"
"475","43","","0","45","28 Feb 2021 10:03:02"
"475","43","","0","45","28 Feb 2021 09:57:59"
"475","43","","0","45","28 Feb 2021 09:52:59"
