"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"482","40","","0","46","03 Mar 2021 11:53:52"
"482","38","","0","34","03 Mar 2021 11:48:51"
"482","38","","0","50","03 Mar 2021 11:43:51"
"482","38","","0","50","03 Mar 2021 11:38:50"
"482","38","","0","46","03 Mar 2021 11:33:49"
"482","32","","0","41","03 Mar 2021 11:28:49"
"482","37","","0","36","03 Mar 2021 11:23:49"
"482","37","","0","36","03 Mar 2021 11:18:49"
"482","32","","0","35","03 Mar 2021 11:13:50"
"482","38","","0","44","03 Mar 2021 11:08:48"
"482","35","","0","40","03 Mar 2021 11:03:48"
"482","35","","0","40","03 Mar 2021 10:58:48"
"482","40","","0","41","03 Mar 2021 10:53:48"
"482","33","","0","49","03 Mar 2021 10:48:47"
"482","33","","0","52","03 Mar 2021 10:43:47"
"482","33","","0","52","03 Mar 2021 10:43:04"
"482","33","","0","52","03 Mar 2021 10:41:43"
"482","38","","0","32","03 Mar 2021 10:41:43"
"482","37","","0","8","28 Feb 2021 22:58:50"
"482","38","","0","13","28 Feb 2021 22:53:47"
"482","48","","0","10","28 Feb 2021 22:48:52"
"482","33","","0","14","28 Feb 2021 22:43:46"
"482","38","","0","14","28 Feb 2021 22:38:48"
"482","56","","0","15","28 Feb 2021 22:33:47"
"482","37","","0","16","28 Feb 2021 22:28:45"
"482","38","","0","17","28 Feb 2021 22:23:45"
"482","37","","0","12","28 Feb 2021 22:18:46"
"482","37","","0","12","28 Feb 2021 22:13:45"
"482","40","","0","16","28 Feb 2021 22:08:45"
"482","45","","0","13","28 Feb 2021 22:04:29"
"482","41","","0","26","28 Feb 2021 21:58:51"
"482","38","","0","12","28 Feb 2021 21:53:45"
"482","45","","0","24","28 Feb 2021 21:49:03"
"482","37","","0","17","28 Feb 2021 21:44:00"
"482","38","","0","19","28 Feb 2021 21:38:47"
"482","30","","0","37","28 Feb 2021 21:34:02"
"482","30","","0","37","28 Feb 2021 21:28:47"
"482","41","","0","32","28 Feb 2021 21:23:43"
"482","35","","0","33","28 Feb 2021 21:18:42"
"482","38","","0","40","28 Feb 2021 21:13:43"
"482","38","","0","40","28 Feb 2021 21:08:42"
"482","40","","0","28","28 Feb 2021 21:03:41"
"482","37","","0","27","28 Feb 2021 20:58:40"
"482","32","","0","25","28 Feb 2021 20:53:40"
"482","33","","0","43","28 Feb 2021 20:48:40"
"482","33","","0","43","28 Feb 2021 20:43:41"
"482","40","","0","41","28 Feb 2021 20:38:39"
"482","35","","0","36","28 Feb 2021 20:33:40"
"482","37","","0","38","28 Feb 2021 20:28:39"
"482","35","","0","43","28 Feb 2021 20:23:40"
"482","35","","0","43","28 Feb 2021 20:18:38"
"482","35","","0","51","28 Feb 2021 20:13:36"
"482","37","","0","48","28 Feb 2021 20:08:36"
"482","37","","0","32","28 Feb 2021 20:03:39"
