"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"487","25","","0","26","03 Mar 2021 11:58:52"
"487","22","","0","24","03 Mar 2021 11:53:52"
"487","22","","0","44","03 Mar 2021 11:48:51"
"487","30","","4","43","03 Mar 2021 11:43:51"
"487","30","","4","43","03 Mar 2021 11:38:50"
"487","16","","5","26","03 Mar 2021 11:33:49"
"487","27","","14","13","03 Mar 2021 11:28:49"
"487","28","","0","16","03 Mar 2021 11:23:49"
"487","28","","0","16","03 Mar 2021 11:18:49"
"487","27","","0","21","03 Mar 2021 11:13:50"
"487","24","","1","28","03 Mar 2021 11:08:48"
"487","30","","5","29","03 Mar 2021 11:03:48"
"487","30","","5","29","03 Mar 2021 10:58:48"
"487","20","","0","33","03 Mar 2021 10:53:48"
"487","25","","0","45","03 Mar 2021 10:48:47"
"487","32","","1","31","03 Mar 2021 10:43:47"
"487","32","","1","31","03 Mar 2021 10:43:04"
"487","32","","1","31","03 Mar 2021 10:41:43"
"487","28","","0","17","03 Mar 2021 10:41:43"
"487","27","","0","4","28 Feb 2021 22:58:50"
"487","80","","0","10","28 Feb 2021 22:53:47"
"487","27","","12","10","28 Feb 2021 22:48:52"
"487","30","","0","4","28 Feb 2021 22:43:46"
"487","3","","8","13","28 Feb 2021 22:38:48"
"487","28","","0","10","28 Feb 2021 22:33:47"
"487","38","","0","15","28 Feb 2021 22:28:45"
"487","32","","0","15","28 Feb 2021 22:23:45"
"487","38","","0","10","28 Feb 2021 22:18:46"
"487","38","","0","10","28 Feb 2021 22:13:45"
"487","41","","0","7","28 Feb 2021 22:08:45"
"487","30","","2","13","28 Feb 2021 22:04:29"
"487","33","","0","19","28 Feb 2021 21:58:51"
"487","22","","0","16","28 Feb 2021 21:53:45"
"487","27","","9","21","28 Feb 2021 21:49:03"
"487","33","","0","10","28 Feb 2021 21:44:00"
"487","19","","0","14","28 Feb 2021 21:38:47"
"487","27","","0","23","28 Feb 2021 21:34:02"
"487","27","","0","23","28 Feb 2021 21:28:47"
"487","27","","0","24","28 Feb 2021 21:23:43"
"487","27","","0","29","28 Feb 2021 21:18:42"
"487","27","","0","27","28 Feb 2021 21:13:43"
"487","27","","0","27","28 Feb 2021 21:08:42"
"487","28","","0","31","28 Feb 2021 21:03:41"
"487","28","","0","26","28 Feb 2021 20:58:40"
"487","25","","1","29","28 Feb 2021 20:53:40"
"487","30","","0","22","28 Feb 2021 20:48:40"
"487","30","","0","22","28 Feb 2021 20:43:41"
"487","28","","0","27","28 Feb 2021 20:38:39"
"487","25","","0","40","28 Feb 2021 20:33:40"
"487","28","","0","19","28 Feb 2021 20:28:39"
"487","25","","1","43","28 Feb 2021 20:23:40"
"487","25","","1","43","28 Feb 2021 20:18:38"
