"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"488","30","","5","29","03 Mar 2021 11:58:52"
"488","24","","0","22","03 Mar 2021 11:53:52"
"488","28","","0","30","03 Mar 2021 11:48:51"
"488","20","","4","30","03 Mar 2021 11:43:51"
"488","20","","4","30","03 Mar 2021 11:38:50"
"488","22","","0","34","03 Mar 2021 11:33:49"
"488","8","","8","39","03 Mar 2021 11:28:49"
"488","24","","9","33","03 Mar 2021 11:23:49"
"488","24","","9","33","03 Mar 2021 11:18:49"
"488","8","","0","28","03 Mar 2021 11:13:50"
"488","17","","37","55","03 Mar 2021 11:08:48"
"488","17","","5","38","03 Mar 2021 11:03:48"
"488","17","","5","38","03 Mar 2021 10:58:48"
"488","12","","9","40","03 Mar 2021 10:53:48"
"488","16","","12","43","03 Mar 2021 10:48:47"
"488","28","","0","27","03 Mar 2021 10:43:47"
"488","28","","0","27","03 Mar 2021 10:43:04"
"488","28","","0","27","03 Mar 2021 10:41:43"
"488","9","","14","21","03 Mar 2021 10:41:43"
"488","37","","0","10","28 Feb 2021 22:58:50"
"488","33","","0","14","28 Feb 2021 22:53:47"
"488","28","","0","11","28 Feb 2021 22:48:52"
"488","33","","0","8","28 Feb 2021 22:43:46"
"488","28","","0","23","28 Feb 2021 22:38:48"
"488","33","","0","11","28 Feb 2021 22:33:47"
"488","33","","0","14","28 Feb 2021 22:28:45"
"488","28","","0","11","28 Feb 2021 22:23:45"
"488","40","","0","12","28 Feb 2021 22:18:46"
"488","40","","0","12","28 Feb 2021 22:13:45"
"488","30","","0","13","28 Feb 2021 22:08:45"
"488","80","","0","5","28 Feb 2021 22:04:29"
"488","30","","0","10","28 Feb 2021 21:58:51"
"488","28","","0","14","28 Feb 2021 21:53:45"
"488","25","","0","16","28 Feb 2021 21:49:03"
"488","30","","0","11","28 Feb 2021 21:44:00"
"488","22","","0","18","28 Feb 2021 21:38:47"
"488","22","","0","19","28 Feb 2021 21:34:02"
"488","22","","0","19","28 Feb 2021 21:28:47"
"488","25","","0","28","28 Feb 2021 21:23:43"
"488","19","","8","35","28 Feb 2021 21:18:42"
"488","27","","0","25","28 Feb 2021 21:13:43"
"488","27","","0","25","28 Feb 2021 21:08:42"
"488","24","","1","20","28 Feb 2021 21:03:41"
"488","30","","8","27","28 Feb 2021 20:58:40"
"488","32","","6","21","28 Feb 2021 20:53:40"
"488","35","","0","19","28 Feb 2021 20:48:40"
"488","35","","0","19","28 Feb 2021 20:43:41"
"488","16","","2","29","28 Feb 2021 20:38:39"
"488","27","","0","19","28 Feb 2021 20:33:40"
"488","14","","5","30","28 Feb 2021 20:28:39"
"488","19","","14","45","28 Feb 2021 20:23:40"
"488","19","","14","45","28 Feb 2021 20:18:38"
"488","16","","6","32","28 Feb 2021 20:13:36"
"488","24","","5","28","28 Feb 2021 20:08:36"
"488","25","","0","17","28 Feb 2021 20:03:39"
"488","25","","0","17","28 Feb 2021 19:58:36"
"488","20","","9","46","28 Feb 2021 19:53:35"
"488","22","","0","26","28 Feb 2021 19:48:36"
"488","30","","4","28","28 Feb 2021 19:43:35"
"488","30","","4","28","28 Feb 2021 19:38:35"
"488","20","","2","28","28 Feb 2021 19:33:36"
"488","14","","8","24","28 Feb 2021 19:28:34"
"488","20","","10","28","28 Feb 2021 19:23:34"
"488","20","","10","28","28 Feb 2021 19:18:34"
"488","25","","0","37","28 Feb 2021 19:13:34"
"488","19","","5","40","28 Feb 2021 19:08:33"
"488","19","","10","51","28 Feb 2021 19:03:33"
"488","27","","0","26","28 Feb 2021 18:58:33"
"488","27","","0","26","28 Feb 2021 18:53:33"
"488","22","","4","48","28 Feb 2021 18:48:32"
"488","24","","0","38","28 Feb 2021 18:43:34"
"488","20","","4","28","28 Feb 2021 18:38:34"
"488","20","","4","28","28 Feb 2021 18:33:32"
"488","20","","9","32","28 Feb 2021 18:28:32"
"488","27","","0","27","28 Feb 2021 18:23:32"
"488","24","","2","42","28 Feb 2021 18:18:30"
"488","17","","4","31","28 Feb 2021 18:13:33"
"488","24","","4","22","28 Feb 2021 18:08:33"
"488","24","","4","22","28 Feb 2021 18:03:30"
"488","19","","6","43","28 Feb 2021 17:58:28"
"488","17","","6","38","28 Feb 2021 17:53:32"
"488","16","","17","42","28 Feb 2021 17:48:32"
"488","25","","0","28","28 Feb 2021 17:43:32"
"488","16","","13","31","28 Feb 2021 17:38:29"
"488","16","","13","31","28 Feb 2021 17:33:27"
"488","16","","16","46","28 Feb 2021 17:28:29"
"488","16","","18","46","28 Feb 2021 17:23:32"
"488","20","","18","41","28 Feb 2021 17:18:28"
"488","20","","1","32","28 Feb 2021 17:13:28"
"488","20","","1","32","28 Feb 2021 17:08:29"
"488","19","","10","38","28 Feb 2021 17:03:27"
"488","20","","9","36","28 Feb 2021 16:58:26"
"488","20","","9","36","28 Feb 2021 16:53:25"
"488","14","","21","49","28 Feb 2021 16:48:26"
"488","22","","0","37","28 Feb 2021 16:43:25"
"488","22","","0","37","28 Feb 2021 16:38:25"
"488","14","","13","45","28 Feb 2021 16:33:25"
"488","24","","4","44","28 Feb 2021 16:28:24"
"488","14","","5","43","28 Feb 2021 16:23:25"
"488","20","","9","50","28 Feb 2021 16:18:23"
"488","14","","13","49","28 Feb 2021 16:13:24"
"488","14","","13","49","28 Feb 2021 16:08:23"
"488","16","","0","25","28 Feb 2021 16:03:24"
"488","16","","44","46","28 Feb 2021 15:58:22"
"488","19","","2","41","28 Feb 2021 15:53:24"
"488","19","","2","41","28 Feb 2021 15:48:22"
"488","30","","0","26","28 Feb 2021 15:43:26"
"488","22","","0","47","28 Feb 2021 15:38:24"
"488","17","","8","41","28 Feb 2021 15:33:23"
"488","17","","8","41","28 Feb 2021 15:28:21"
"488","19","","16","43","28 Feb 2021 15:23:23"
"488","25","","4","40","28 Feb 2021 15:18:20"
"488","25","","4","40","28 Feb 2021 15:13:20"
"488","16","","2","37","28 Feb 2021 15:08:19"
"488","19","","5","36","28 Feb 2021 15:03:22"
"488","19","","5","36","28 Feb 2021 14:58:18"
