"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"2438","33","","0","18","03 Mar 2021 11:58:52"
"2438","32","","0","11","03 Mar 2021 11:53:52"
"2438","28","","0","17","03 Mar 2021 11:48:51"
"2438","30","","0","23","03 Mar 2021 11:43:51"
"2438","30","","0","23","03 Mar 2021 11:38:50"
"2438","30","","0","29","03 Mar 2021 11:33:49"
"2438","28","","0","17","03 Mar 2021 11:28:49"
"2438","33","","0","23","03 Mar 2021 11:23:49"
"2438","33","","0","23","03 Mar 2021 11:18:48"
"2438","33","","0","17","03 Mar 2021 11:13:50"
"2438","27","","0","34","03 Mar 2021 11:08:48"
"2438","25","","0","31","03 Mar 2021 11:03:48"
"2438","25","","0","31","03 Mar 2021 10:58:48"
"2438","28","","0","29","03 Mar 2021 10:53:48"
"2438","28","","0","28","03 Mar 2021 10:48:47"
"2438","32","","0","23","03 Mar 2021 10:43:47"
"2438","32","","0","23","03 Mar 2021 10:43:04"
"2438","30","","0","19","03 Mar 2021 10:41:20"
"2438","32","","0","23","03 Mar 2021 10:41:20"
"2438","40","","0","7","28 Feb 2021 22:58:50"
"2438","20","","0","12","28 Feb 2021 22:53:47"
"2438","25","","0","11","28 Feb 2021 22:48:51"
"2438","38","","0","10","28 Feb 2021 22:43:46"
"2438","35","","0","13","28 Feb 2021 22:38:48"
"2438","37","","0","13","28 Feb 2021 22:33:47"
"2438","38","","0","11","28 Feb 2021 22:28:45"
"2438","37","","0","9","28 Feb 2021 22:23:45"
"2438","40","","0","12","28 Feb 2021 22:18:46"
"2438","40","","0","12","28 Feb 2021 22:13:45"
"2438","46","","0","9","28 Feb 2021 22:08:45"
"2438","24","","0","5","28 Feb 2021 22:04:19"
"2438","32","","0","6","28 Feb 2021 21:58:51"
"2438","32","","0","13","28 Feb 2021 21:53:45"
"2438","30","","0","11","28 Feb 2021 21:49:02"
"2438","37","","0","5","28 Feb 2021 21:43:59"
"2438","35","","0","14","28 Feb 2021 21:38:47"
"2438","38","","0","10","28 Feb 2021 21:34:01"
"2438","38","","0","10","28 Feb 2021 21:28:46"
"2438","35","","0","15","28 Feb 2021 21:23:43"
"2438","30","","0","23","28 Feb 2021 21:18:42"
"2438","37","","0","15","28 Feb 2021 21:13:42"
"2438","37","","0","15","28 Feb 2021 21:08:42"
"2438","32","","0","19","28 Feb 2021 21:03:41"
"2438","37","","0","17","28 Feb 2021 20:58:40"
"2438","45","","0","15","28 Feb 2021 20:53:40"
"2438","37","","0","20","28 Feb 2021 20:48:40"
"2438","37","","0","20","28 Feb 2021 20:43:40"
"2438","35","","0","18","28 Feb 2021 20:38:39"
"2438","25","","0","18","28 Feb 2021 20:33:40"
"2438","33","","0","21","28 Feb 2021 20:28:39"
"2438","28","","0","28","28 Feb 2021 20:23:40"
"2438","28","","0","28","28 Feb 2021 20:18:38"
"2438","28","","0","27","28 Feb 2021 20:13:36"
"2438","28","","0","16","28 Feb 2021 20:08:36"
