"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"492","32","","0","63","03 Mar 2021 11:58:52"
"492","32","","0","63","03 Mar 2021 11:53:52"
"492","32","","0","63","03 Mar 2021 11:48:51"
"492","32","","0","63","03 Mar 2021 11:43:51"
"492","32","","0","63","03 Mar 2021 11:38:50"
"492","32","","0","63","03 Mar 2021 11:33:49"
"492","32","","0","63","03 Mar 2021 11:28:49"
"492","32","","0","63","03 Mar 2021 11:23:49"
"492","32","","0","63","03 Mar 2021 11:18:49"
"492","32","","0","63","03 Mar 2021 11:13:50"
"492","32","","0","63","03 Mar 2021 11:08:48"
"492","32","","0","63","03 Mar 2021 11:03:48"
"492","32","","0","63","03 Mar 2021 10:58:48"
"492","32","","0","63","03 Mar 2021 10:53:48"
"492","32","","0","63","03 Mar 2021 10:48:47"
"492","32","","0","63","03 Mar 2021 10:43:47"
"492","32","","0","63","03 Mar 2021 10:43:04"
"492","32","","0","63","03 Mar 2021 10:41:43"
"492","32","","0","63","03 Mar 2021 10:41:43"
"492","32","","0","63","28 Feb 2021 22:58:50"
"492","32","","0","63","28 Feb 2021 22:53:47"
"492","32","","0","63","28 Feb 2021 22:48:52"
"492","32","","0","63","28 Feb 2021 22:43:46"
"492","32","","0","63","28 Feb 2021 22:38:48"
"492","32","","0","63","28 Feb 2021 22:33:47"
"492","32","","0","63","28 Feb 2021 22:28:45"
"492","32","","0","63","28 Feb 2021 22:23:45"
"492","32","","0","63","28 Feb 2021 22:18:46"
"492","32","","0","63","28 Feb 2021 22:13:45"
"492","32","","0","63","28 Feb 2021 22:08:45"
"492","32","","0","63","28 Feb 2021 22:04:29"
"492","32","","0","63","28 Feb 2021 21:58:51"
"492","32","","0","63","28 Feb 2021 21:53:45"
"492","32","","0","63","28 Feb 2021 21:49:03"
"492","32","","0","63","28 Feb 2021 21:44:00"
"492","32","","0","63","28 Feb 2021 21:38:47"
"492","32","","0","63","28 Feb 2021 21:34:02"
"492","32","","0","63","28 Feb 2021 21:28:47"
"492","32","","0","63","28 Feb 2021 21:23:43"
"492","32","","0","63","28 Feb 2021 21:18:42"
"492","32","","0","63","28 Feb 2021 21:13:43"
"492","32","","0","63","28 Feb 2021 21:08:42"
"492","32","","0","63","28 Feb 2021 21:03:41"
"492","32","","0","63","28 Feb 2021 20:58:40"
"492","32","","0","63","28 Feb 2021 20:53:40"
"492","32","","0","63","28 Feb 2021 20:48:40"
"492","32","","0","63","28 Feb 2021 20:43:41"
"492","32","","0","63","28 Feb 2021 20:38:39"
"492","32","","0","63","28 Feb 2021 20:33:40"
"492","32","","0","63","28 Feb 2021 20:28:39"
"492","32","","0","63","28 Feb 2021 20:23:40"
"492","32","","0","63","28 Feb 2021 20:18:38"
"492","32","","0","63","28 Feb 2021 20:13:36"
"492","32","","0","63","28 Feb 2021 20:08:36"
"492","32","","0","63","28 Feb 2021 20:03:39"
"492","32","","0","63","28 Feb 2021 19:58:36"
"492","32","","0","63","28 Feb 2021 19:53:35"
"492","32","","0","63","28 Feb 2021 19:48:36"
"492","32","","0","63","28 Feb 2021 19:43:35"
"492","32","","0","63","28 Feb 2021 19:38:35"
"492","32","","0","63","28 Feb 2021 19:33:36"
"492","32","","0","63","28 Feb 2021 19:28:34"
"492","32","","0","63","28 Feb 2021 19:23:34"
"492","32","","0","63","28 Feb 2021 19:18:34"
"492","32","","0","63","28 Feb 2021 19:13:34"
"492","32","","0","63","28 Feb 2021 19:08:33"
"492","32","","0","63","28 Feb 2021 19:03:33"
"492","32","","0","63","28 Feb 2021 18:58:33"
"492","32","","0","63","28 Feb 2021 18:53:33"
"492","32","","0","63","28 Feb 2021 18:48:32"
"492","32","","0","63","28 Feb 2021 18:43:34"
"492","32","","0","63","28 Feb 2021 18:38:34"
"492","32","","0","63","28 Feb 2021 18:33:32"
"492","32","","0","63","28 Feb 2021 18:28:32"
"492","32","","0","63","28 Feb 2021 18:23:32"
"492","32","","0","63","28 Feb 2021 18:18:30"
"492","32","","0","63","28 Feb 2021 18:13:33"
"492","32","","0","63","28 Feb 2021 18:08:33"
"492","32","","0","63","28 Feb 2021 18:03:30"
"492","32","","0","63","28 Feb 2021 17:58:28"
"492","32","","0","63","28 Feb 2021 17:53:32"
"492","32","","0","63","28 Feb 2021 17:48:32"
"492","32","","0","63","28 Feb 2021 17:43:32"
"492","32","","0","63","28 Feb 2021 17:38:29"
"492","32","","0","63","28 Feb 2021 17:33:27"
"492","32","","0","63","28 Feb 2021 17:28:29"
"492","32","","0","63","28 Feb 2021 17:23:32"
"492","32","","0","63","28 Feb 2021 17:18:28"
"492","32","","0","63","28 Feb 2021 17:13:28"
"492","32","","0","63","28 Feb 2021 17:08:29"
"492","32","","0","63","28 Feb 2021 17:03:27"
"492","32","","0","63","28 Feb 2021 16:58:26"
"492","32","","0","63","28 Feb 2021 16:53:25"
"492","32","","0","63","28 Feb 2021 16:48:26"
"492","32","","0","63","28 Feb 2021 16:43:25"
"492","32","","0","63","28 Feb 2021 16:38:25"
"492","32","","0","63","28 Feb 2021 16:33:25"
"492","32","","0","63","28 Feb 2021 16:28:24"
"492","32","","0","63","28 Feb 2021 16:23:25"
"492","32","","0","63","28 Feb 2021 16:18:23"
"492","32","","0","63","28 Feb 2021 16:13:24"
"492","32","","0","63","28 Feb 2021 16:08:23"
"492","32","","0","63","28 Feb 2021 16:03:24"
"492","32","","0","63","28 Feb 2021 15:58:22"
"492","32","","0","63","28 Feb 2021 15:53:24"
"492","32","","0","63","28 Feb 2021 15:48:22"
"492","32","","0","63","28 Feb 2021 15:43:26"
"492","32","","0","63","28 Feb 2021 15:38:24"
"492","32","","0","63","28 Feb 2021 15:33:23"
"492","32","","0","63","28 Feb 2021 15:28:21"
"492","32","","0","63","28 Feb 2021 15:23:23"
"492","32","","0","63","28 Feb 2021 15:18:20"
"492","32","","0","63","28 Feb 2021 15:13:20"
"492","32","","0","63","28 Feb 2021 15:08:19"
"492","32","","0","63","28 Feb 2021 15:03:22"
"492","32","","0","63","28 Feb 2021 14:58:18"
"492","32","","0","63","28 Feb 2021 14:53:18"
"492","32","","0","63","28 Feb 2021 14:48:20"
"492","32","","0","63","28 Feb 2021 14:43:18"
"492","32","","0","63","28 Feb 2021 14:38:18"
"492","32","","0","63","28 Feb 2021 14:33:21"
"492","32","","0","63","28 Feb 2021 14:28:18"
"492","32","","0","63","28 Feb 2021 14:23:17"
"492","32","","0","63","28 Feb 2021 14:18:17"
"492","32","","0","63","28 Feb 2021 14:13:19"
"492","32","","0","63","28 Feb 2021 14:08:16"
"492","32","","0","63","28 Feb 2021 14:03:15"
