"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"494","20","","0","11","03 Mar 2021 11:58:52"
"494","9","","0","23","03 Mar 2021 11:53:52"
"494","20","","17","32","03 Mar 2021 11:48:51"
"494","14","","2","19","03 Mar 2021 11:43:51"
"494","14","","2","19","03 Mar 2021 11:38:50"
"494","12","","4","28","03 Mar 2021 11:33:49"
"494","19","","0","21","03 Mar 2021 11:28:49"
"494","24","","12","24","03 Mar 2021 11:23:49"
"494","24","","12","24","03 Mar 2021 11:18:49"
"494","20","","0","22","03 Mar 2021 11:13:50"
"494","17","","0","21","03 Mar 2021 11:08:48"
"494","20","","0","17","03 Mar 2021 11:03:48"
"494","20","","0","17","03 Mar 2021 10:58:48"
"494","22","","0","22","03 Mar 2021 10:53:48"
"494","27","","0","19","03 Mar 2021 10:48:47"
"494","27","","0","21","03 Mar 2021 10:43:47"
"494","27","","0","21","03 Mar 2021 10:43:04"
"494","27","","0","21","03 Mar 2021 10:41:43"
"494","19","","0","13","03 Mar 2021 10:41:43"
"494","80","","0","0","28 Feb 2021 22:58:50"
"494","80","","0","3","28 Feb 2021 22:53:47"
"494","80","","0","2","28 Feb 2021 22:48:52"
"494","80","","0","1","28 Feb 2021 22:43:46"
"494","80","","0","2","28 Feb 2021 22:38:48"
"494","80","","0","2","28 Feb 2021 22:33:47"
"494","80","","0","0","28 Feb 2021 22:28:45"
"494","80","","0","2","28 Feb 2021 22:23:45"
"494","35","","0","2","28 Feb 2021 22:18:46"
"494","35","","0","2","28 Feb 2021 22:13:45"
"494","35","","0","3","28 Feb 2021 22:08:45"
"494","80","","0","3","28 Feb 2021 22:04:29"
"494","80","","0","2","28 Feb 2021 21:58:51"
"494","80","","0","1","28 Feb 2021 21:53:45"
"494","80","","0","2","28 Feb 2021 21:49:03"
"494","80","","0","2","28 Feb 2021 21:44:00"
"494","24","","0","5","28 Feb 2021 21:38:47"
"494","80","","0","2","28 Feb 2021 21:34:02"
"494","80","","0","2","28 Feb 2021 21:28:47"
"494","20","","0","4","28 Feb 2021 21:23:43"
"494","30","","0","0","28 Feb 2021 21:18:42"
"494","80","","0","6","28 Feb 2021 21:13:43"
"494","80","","0","6","28 Feb 2021 21:08:42"
"494","80","","0","4","28 Feb 2021 21:03:41"
"494","19","","0","4","28 Feb 2021 20:58:40"
"494","35","","0","1","28 Feb 2021 20:53:40"
"494","80","","0","7","28 Feb 2021 20:48:40"
"494","80","","0","7","28 Feb 2021 20:43:41"
"494","14","","0","5","28 Feb 2021 20:38:39"
"494","30","","0","1","28 Feb 2021 20:33:40"
"494","57","","0","9","28 Feb 2021 20:28:39"
"494","80","","0","7","28 Feb 2021 20:23:40"
"494","80","","0","7","28 Feb 2021 20:18:38"
"494","80","","0","4","28 Feb 2021 20:13:36"
"494","22","","0","6","28 Feb 2021 20:08:36"
"494","22","","0","8","28 Feb 2021 20:03:39"
"494","22","","0","8","28 Feb 2021 19:58:36"
"494","27","","0","10","28 Feb 2021 19:53:35"
"494","27","","0","11","28 Feb 2021 19:48:36"
"494","80","","0","3","28 Feb 2021 19:43:35"
"494","80","","0","3","28 Feb 2021 19:38:35"
"494","20","","0","5","28 Feb 2021 19:33:36"
"494","80","","0","5","28 Feb 2021 19:28:34"
"494","20","","0","6","28 Feb 2021 19:23:34"
"494","20","","0","6","28 Feb 2021 19:18:34"
"494","11","","0","9","28 Feb 2021 19:13:34"
"494","41","","0","13","28 Feb 2021 19:08:33"
"494","22","","0","5","28 Feb 2021 19:03:33"
"494","24","","0","9","28 Feb 2021 18:58:33"
"494","24","","0","9","28 Feb 2021 18:53:33"
"494","20","","0","18","28 Feb 2021 18:48:32"
"494","19","","1","14","28 Feb 2021 18:43:34"
"494","37","","5","14","28 Feb 2021 18:38:34"
"494","37","","5","14","28 Feb 2021 18:33:32"
"494","1","","0","4","28 Feb 2021 18:28:32"
"494","19","","0","8","28 Feb 2021 18:23:32"
"494","27","","0","7","28 Feb 2021 18:18:30"
"494","27","","0","11","28 Feb 2021 18:13:33"
"494","30","","0","9","28 Feb 2021 18:08:33"
"494","30","","0","9","28 Feb 2021 18:03:30"
"494","19","","0","7","28 Feb 2021 17:58:28"
"494","27","","0","10","28 Feb 2021 17:53:32"
"494","24","","0","10","28 Feb 2021 17:48:32"
"494","24","","0","9","28 Feb 2021 17:43:32"
"494","22","","0","9","28 Feb 2021 17:38:29"
"494","22","","0","9","28 Feb 2021 17:33:27"
"494","25","","0","13","28 Feb 2021 17:28:29"
"494","20","","0","9","28 Feb 2021 17:23:32"
"494","17","","0","13","28 Feb 2021 17:18:28"
"494","19","","0","15","28 Feb 2021 17:13:28"
"494","19","","0","15","28 Feb 2021 17:08:29"
"494","22","","0","20","28 Feb 2021 17:03:27"
"494","28","","0","20","28 Feb 2021 16:58:26"
"494","28","","0","20","28 Feb 2021 16:53:25"
"494","22","","0","19","28 Feb 2021 16:48:26"
"494","14","","0","14","28 Feb 2021 16:43:25"
"494","14","","0","14","28 Feb 2021 16:38:25"
"494","9","","8","16","28 Feb 2021 16:33:25"
"494","22","","0","13","28 Feb 2021 16:28:24"
"494","14","","8","28","28 Feb 2021 16:23:25"
"494","8","","30","27","28 Feb 2021 16:18:23"
"494","24","","13","26","28 Feb 2021 16:13:24"
"494","24","","13","26","28 Feb 2021 16:08:23"
"494","14","","0","19","28 Feb 2021 16:03:24"
"494","14","","14","29","28 Feb 2021 15:58:22"
"494","16","","1","27","28 Feb 2021 15:53:24"
"494","16","","1","27","28 Feb 2021 15:48:22"
"494","17","","0","17","28 Feb 2021 15:43:26"
"494","16","","12","23","28 Feb 2021 15:38:24"
"494","11","","1","21","28 Feb 2021 15:33:23"
"494","11","","1","21","28 Feb 2021 15:28:21"
"494","14","","20","25","28 Feb 2021 15:23:23"
"494","11","","28","31","28 Feb 2021 15:18:20"
"494","11","","28","31","28 Feb 2021 15:13:20"
"494","24","","0","15","28 Feb 2021 15:08:19"
"494","14","","10","30","28 Feb 2021 15:03:22"
"494","14","","10","30","28 Feb 2021 14:58:18"
"494","16","","0","20","28 Feb 2021 14:53:18"
"494","25","","1","24","28 Feb 2021 14:48:20"
"494","25","","1","24","28 Feb 2021 14:43:18"
"494","22","","0","26","28 Feb 2021 14:38:18"
"494","14","","0","25","28 Feb 2021 14:33:21"
"494","14","","0","25","28 Feb 2021 14:28:18"
"494","11","","22","20","28 Feb 2021 14:23:17"
"494","20","","1","30","28 Feb 2021 14:18:17"
"494","20","","1","30","28 Feb 2021 14:13:19"
"494","17","","0","22","28 Feb 2021 14:08:16"
"494","24","","0","27","28 Feb 2021 14:03:15"
"494","24","","0","27","28 Feb 2021 13:58:18"
"494","17","","6","24","28 Feb 2021 13:53:15"
"494","20","","0","31","28 Feb 2021 13:48:14"
"494","14","","0","31","28 Feb 2021 13:43:17"
"494","14","","0","31","28 Feb 2021 13:38:15"
"494","6","","26","34","28 Feb 2021 13:33:14"
"494","25","","16","25","28 Feb 2021 13:28:13"
"494","25","","16","25","28 Feb 2021 13:23:15"
"494","16","","0","24","28 Feb 2021 13:18:13"
"494","32","","0","19","28 Feb 2021 13:13:13"
"494","32","","0","19","28 Feb 2021 13:08:16"
"494","22","","0","16","28 Feb 2021 13:03:12"
"494","19","","0","20","28 Feb 2021 12:58:14"
"494","19","","0","20","28 Feb 2021 12:53:15"
"494","19","","0","28","28 Feb 2021 12:48:13"
"494","20","","0","20","28 Feb 2021 12:43:12"
"494","20","","0","20","28 Feb 2021 12:38:11"
"494","17","","2","25","28 Feb 2021 12:33:12"
"494","17","","2","25","28 Feb 2021 12:28:10"
"494","17","","2","25","28 Feb 2021 12:23:09"
"494","17","","2","25","28 Feb 2021 12:18:08"
"494","17","","2","25","28 Feb 2021 12:13:09"
"494","19","","0","21","28 Feb 2021 12:08:08"
"494","19","","0","21","28 Feb 2021 12:03:09"
"494","16","","0","19","28 Feb 2021 11:58:07"
"494","17","","0","14","28 Feb 2021 11:53:08"
"494","17","","0","25","28 Feb 2021 11:48:07"
"494","17","","0","25","28 Feb 2021 11:43:07"
"494","22","","0","20","28 Feb 2021 11:38:07"
"494","14","","6","19","28 Feb 2021 11:33:06"
"494","27","","0","19","28 Feb 2021 11:28:06"
"494","27","","0","19","28 Feb 2021 11:23:06"
