"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"497","8","","0","34","03 Mar 2021 12:03:52"
"497","8","","0","34","03 Mar 2021 11:58:52"
"497","22","","0","73","03 Mar 2021 11:53:52"
"497","24","","0","42","03 Mar 2021 11:48:51"
"497","17","","0","52","03 Mar 2021 11:43:51"
"497","17","","0","52","03 Mar 2021 11:38:50"
"497","24","","0","44","03 Mar 2021 11:33:49"
"497","25","","0","48","03 Mar 2021 11:28:49"
"497","28","","0","29","03 Mar 2021 11:23:49"
"497","28","","0","29","03 Mar 2021 11:18:49"
"497","24","","0","34","03 Mar 2021 11:13:50"
"497","24","","0","48","03 Mar 2021 11:08:48"
"497","24","","0","33","03 Mar 2021 11:03:48"
"497","24","","0","33","03 Mar 2021 10:58:48"
"497","27","","0","34","03 Mar 2021 10:53:48"
"497","19","","0","49","03 Mar 2021 10:48:47"
"497","35","","0","53","03 Mar 2021 10:43:47"
"497","35","","0","53","03 Mar 2021 10:43:04"
"497","35","","0","53","03 Mar 2021 10:41:43"
"497","28","","0","23","03 Mar 2021 10:41:43"
"497","27","","0","4","28 Feb 2021 22:58:50"
"497","16","","0","12","28 Feb 2021 22:53:47"
"497","37","","0","8","28 Feb 2021 22:48:52"
"497","33","","0","7","28 Feb 2021 22:43:46"
"497","33","","0","15","28 Feb 2021 22:38:48"
"497","32","","0","10","28 Feb 2021 22:33:47"
"497","33","","0","17","28 Feb 2021 22:28:45"
"497","33","","0","18","28 Feb 2021 22:23:45"
"497","41","","0","8","28 Feb 2021 22:18:46"
"497","41","","0","8","28 Feb 2021 22:13:45"
"497","38","","0","9","28 Feb 2021 22:08:45"
"497","43","","0","14","28 Feb 2021 22:04:29"
"497","35","","0","24","28 Feb 2021 21:58:51"
"497","27","","0","8","28 Feb 2021 21:53:45"
"497","32","","0","27","28 Feb 2021 21:49:03"
"497","28","","0","13","28 Feb 2021 21:44:00"
"497","28","","0","22","28 Feb 2021 21:38:47"
"497","35","","0","28","28 Feb 2021 21:34:02"
"497","35","","0","28","28 Feb 2021 21:28:47"
"497","27","","0","26","28 Feb 2021 21:23:43"
"497","24","","0","34","28 Feb 2021 21:18:42"
"497","30","","0","42","28 Feb 2021 21:13:43"
"497","30","","0","42","28 Feb 2021 21:08:42"
"497","27","","0","28","28 Feb 2021 21:03:41"
"497","30","","0","33","28 Feb 2021 20:58:40"
"497","28","","0","25","28 Feb 2021 20:53:40"
"497","33","","0","31","28 Feb 2021 20:48:40"
"497","33","","0","31","28 Feb 2021 20:43:41"
"497","28","","0","34","28 Feb 2021 20:38:39"
"497","24","","0","38","28 Feb 2021 20:33:40"
"497","27","","0","43","28 Feb 2021 20:28:39"
"497","24","","0","43","28 Feb 2021 20:23:40"
"497","24","","0","43","28 Feb 2021 20:18:38"
"497","25","","0","46","28 Feb 2021 20:13:36"
"497","32","","0","40","28 Feb 2021 20:08:36"
"497","14","","0","41","28 Feb 2021 20:03:39"
"497","14","","0","41","28 Feb 2021 19:58:36"
"497","24","","0","48","28 Feb 2021 19:53:35"
"497","28","","0","43","28 Feb 2021 19:48:36"
"497","25","","0","30","28 Feb 2021 19:43:35"
"497","25","","0","30","28 Feb 2021 19:38:35"
"497","27","","0","43","28 Feb 2021 19:33:36"
"497","11","","0","63","28 Feb 2021 19:28:34"
"497","25","","0","39","28 Feb 2021 19:23:34"
"497","25","","0","39","28 Feb 2021 19:18:34"
"497","25","","0","49","28 Feb 2021 19:13:34"
"497","27","","0","50","28 Feb 2021 19:08:33"
"497","24","","0","31","28 Feb 2021 19:03:33"
"497","12","","0","52","28 Feb 2021 18:58:33"
"497","12","","0","52","28 Feb 2021 18:53:33"
"497","16","","0","59","28 Feb 2021 18:48:32"
"497","14","","0","62","28 Feb 2021 18:43:34"
"497","11","","6","74","28 Feb 2021 18:38:34"
"497","11","","6","74","28 Feb 2021 18:33:32"
"497","14","","8","70","28 Feb 2021 18:28:32"
"497","14","","0","88","28 Feb 2021 18:23:32"
"497","17","","0","52","28 Feb 2021 18:18:30"
"497","19","","0","72","28 Feb 2021 18:13:33"
"497","17","","0","71","28 Feb 2021 18:08:33"
"497","17","","0","71","28 Feb 2021 18:03:30"
"497","12","","20","86","28 Feb 2021 17:58:28"
"497","11","","4","74","28 Feb 2021 17:53:32"
"497","14","","10","74","28 Feb 2021 17:48:32"
"497","24","","0","76","28 Feb 2021 17:43:32"
"497","12","","0","61","28 Feb 2021 17:38:29"
"497","12","","0","61","28 Feb 2021 17:33:27"
"497","8","","2","93","28 Feb 2021 17:28:29"
"497","17","","9","83","28 Feb 2021 17:23:32"
"497","19","","0","47","28 Feb 2021 17:18:28"
"497","16","","0","61","28 Feb 2021 17:13:28"
"497","16","","0","61","28 Feb 2021 17:08:29"
"497","17","","4","72","28 Feb 2021 17:03:27"
"497","17","","0","53","28 Feb 2021 16:58:26"
"497","17","","0","53","28 Feb 2021 16:53:25"
"497","17","","0","59","28 Feb 2021 16:48:26"
"497","17","","5","67","28 Feb 2021 16:43:25"
"497","17","","5","67","28 Feb 2021 16:38:25"
"497","22","","0","43","28 Feb 2021 16:33:25"
"497","20","","0","57","28 Feb 2021 16:28:24"
"497","20","","0","55","28 Feb 2021 16:23:25"
"497","19","","0","67","28 Feb 2021 16:18:23"
"497","11","","10","85","28 Feb 2021 16:13:24"
"497","11","","10","85","28 Feb 2021 16:08:23"
"497","11","","9","73","28 Feb 2021 16:03:24"
"497","11","","26","89","28 Feb 2021 15:58:22"
"497","14","","18","94","28 Feb 2021 15:53:24"
"497","14","","18","94","28 Feb 2021 15:48:22"
"497","12","","1","71","28 Feb 2021 15:43:26"
"497","17","","0","65","28 Feb 2021 15:38:24"
"497","16","","5","68","28 Feb 2021 15:33:23"
"497","16","","5","68","28 Feb 2021 15:28:21"
"497","14","","0","57","28 Feb 2021 15:23:23"
"497","19","","4","83","28 Feb 2021 15:18:20"
"497","19","","4","83","28 Feb 2021 15:13:20"
"497","11","","1","64","28 Feb 2021 15:08:19"
"497","19","","1","69","28 Feb 2021 15:03:22"
"497","19","","1","69","28 Feb 2021 14:58:18"
"497","17","","16","98","28 Feb 2021 14:53:18"
"497","22","","0","40","28 Feb 2021 14:48:20"
"497","22","","0","40","28 Feb 2021 14:43:18"
"497","20","","0","61","28 Feb 2021 14:38:18"
"497","14","","6","76","28 Feb 2021 14:33:21"
"497","14","","6","76","28 Feb 2021 14:28:18"
"497","17","","4","70","28 Feb 2021 14:23:17"
"497","14","","0","63","28 Feb 2021 14:18:17"
"497","14","","0","63","28 Feb 2021 14:13:19"
"497","22","","0","37","28 Feb 2021 14:08:16"
"497","14","","0","53","28 Feb 2021 14:03:15"
"497","14","","0","53","28 Feb 2021 13:58:18"
"497","17","","0","59","28 Feb 2021 13:53:15"
"497","11","","5","64","28 Feb 2021 13:48:14"
"497","14","","4","63","28 Feb 2021 13:43:17"
"497","14","","4","63","28 Feb 2021 13:38:15"
"497","12","","6","81","28 Feb 2021 13:33:14"
"497","8","","20","78","28 Feb 2021 13:28:13"
"497","8","","20","78","28 Feb 2021 13:23:15"
"497","12","","0","57","28 Feb 2021 13:18:13"
"497","8","","2","72","28 Feb 2021 13:13:13"
"497","8","","2","72","28 Feb 2021 13:08:16"
"497","14","","6","56","28 Feb 2021 13:03:12"
"497","17","","0","53","28 Feb 2021 12:58:14"
"497","17","","0","53","28 Feb 2021 12:53:15"
"497","9","","0","73","28 Feb 2021 12:48:13"
"497","9","","0","55","28 Feb 2021 12:43:12"
"497","9","","0","55","28 Feb 2021 12:38:11"
"497","16","","0","55","28 Feb 2021 12:33:12"
"497","16","","0","55","28 Feb 2021 12:28:10"
"497","16","","0","55","28 Feb 2021 12:23:09"
"497","16","","0","55","28 Feb 2021 12:18:08"
"497","16","","0","55","28 Feb 2021 12:13:09"
"497","27","","0","51","28 Feb 2021 12:08:08"
"497","27","","0","51","28 Feb 2021 12:03:09"
"497","28","","0","31","28 Feb 2021 11:58:07"
"497","35","","0","30","28 Feb 2021 11:53:08"
"497","22","","0","32","28 Feb 2021 11:48:07"
"497","22","","0","32","28 Feb 2021 11:43:07"
"497","24","","0","47","28 Feb 2021 11:38:07"
"497","25","","0","30","28 Feb 2021 11:33:06"
"497","19","","0","38","28 Feb 2021 11:28:06"
"497","19","","0","38","28 Feb 2021 11:23:06"
"497","25","","0","42","28 Feb 2021 11:18:05"
"497","19","","0","51","28 Feb 2021 11:13:05"
"497","38","","0","24","28 Feb 2021 11:08:04"
"497","33","","0","37","28 Feb 2021 11:03:04"
"497","33","","0","37","28 Feb 2021 10:58:04"
"497","30","","0","32","28 Feb 2021 10:53:04"
"497","14","","0","44","28 Feb 2021 10:48:03"
"497","22","","0","56","28 Feb 2021 10:43:04"
"497","30","","0","32","28 Feb 2021 10:38:03"
"497","27","","0","39","28 Feb 2021 10:33:02"
"497","27","","0","39","28 Feb 2021 10:28:01"
"497","30","","0","30","28 Feb 2021 10:23:01"
"497","20","","0","30","28 Feb 2021 10:18:01"
"497","32","","0","27","28 Feb 2021 10:13:00"
"497","27","","0","27","28 Feb 2021 10:08:02"
"497","38","","0","12","28 Feb 2021 10:03:02"
"497","27","","0","14","28 Feb 2021 09:57:59"
"497","27","","0","14","28 Feb 2021 09:52:59"
"497","33","","0","25","28 Feb 2021 09:47:59"
"497","30","","0","16","28 Feb 2021 09:42:59"
"497","30","","0","26","28 Feb 2021 09:37:58"
"497","35","","0","6","28 Feb 2021 09:32:58"
"497","35","","0","6","28 Feb 2021 09:27:58"
"497","32","","0","8","28 Feb 2021 09:22:57"
"497","30","","0","11","28 Feb 2021 09:17:57"
"497","45","","0","6","28 Feb 2021 09:12:57"
"497","45","","0","6","28 Feb 2021 09:07:56"
"497","35","","0","7","28 Feb 2021 09:02:57"
"497","37","","0","8","28 Feb 2021 08:57:56"
"497","38","","0","10","28 Feb 2021 08:52:56"
"497","46","","0","6","28 Feb 2021 08:47:56"
"497","41","","0","7","28 Feb 2021 08:42:56"
"497","41","","0","7","28 Feb 2021 08:37:55"
"497","41","","0","4","28 Feb 2021 08:32:55"
"497","80","","0","3","28 Feb 2021 08:27:59"
"497","27","","0","9","28 Feb 2021 08:22:56"
"497","80","","0","5","28 Feb 2021 08:17:56"
"497","80","","0","4","28 Feb 2021 08:12:54"
"497","41","","0","4","28 Feb 2021 08:07:57"
"497","41","","0","4","28 Feb 2021 08:02:53"
"497","80","","0","1","28 Feb 2021 07:57:53"
"497","80","","0","3","28 Feb 2021 07:52:56"
"497","38","","0","4","28 Feb 2021 07:47:55"
"497","35","","0","6","28 Feb 2021 07:42:52"
"497","35","","0","6","28 Feb 2021 07:37:55"
"497","74","","0","0","28 Feb 2021 07:32:54"
"497","80","","0","3","28 Feb 2021 07:27:50"
"497","80","","0","3","28 Feb 2021 07:22:54"
"497","80","","0","4","28 Feb 2021 07:17:52"
"497","41","","0","3","28 Feb 2021 07:12:51"
"497","25","","0","4","28 Feb 2021 07:07:49"
"497","80","","0","4","28 Feb 2021 07:02:49"
"497","80","","0","4","28 Feb 2021 06:57:51"
"497","35","","0","2","28 Feb 2021 06:52:49"
"497","35","","0","4","28 Feb 2021 06:47:49"
"497","80","","0","2","28 Feb 2021 06:42:49"
"497","80","","0","3","28 Feb 2021 06:37:47"
"497","80","","0","3","28 Feb 2021 06:32:48"
"497","80","","0","3","28 Feb 2021 06:27:47"
"497","80","","0","1","28 Feb 2021 06:22:47"
"497","80","","0","0","28 Feb 2021 06:17:46"
"497","80","","0","0","28 Feb 2021 06:12:46"
"497","80","","0","0","28 Feb 2021 06:07:46"
"497","80","","0","3","28 Feb 2021 06:02:45"
"497","80","","0","0","28 Feb 2021 05:57:43"
"497","35","","0","0","28 Feb 2021 05:52:43"
"497","24","","0","4","28 Feb 2021 05:47:43"
"497","24","","0","4","28 Feb 2021 05:42:42"
"497","80","","0","1","28 Feb 2021 05:37:42"
"497","80","","0","1","28 Feb 2021 05:32:41"
"497","41","","0","2","28 Feb 2021 05:27:40"
"497","80","","0","2","28 Feb 2021 05:22:41"
"497","80","","0","2","28 Feb 2021 05:17:41"
"497","80","","0","0","28 Feb 2021 05:12:40"
"497","80","","0","0","28 Feb 2021 05:07:40"
"497","80","","0","0","28 Feb 2021 05:02:41"
"497","80","","0","3","28 Feb 2021 04:57:38"
"497","80","","0","0","28 Feb 2021 04:52:38"
"497","35","","0","1","28 Feb 2021 04:47:41"
"497","35","","0","1","28 Feb 2021 04:42:39"
"497","80","","0","1","28 Feb 2021 04:37:39"
"497","80","","0","1","28 Feb 2021 04:32:41"
"497","80","","0","2","28 Feb 2021 04:27:37"
"497","80","","0","2","28 Feb 2021 04:22:36"
"497","80","","0","0","28 Feb 2021 04:17:36"
"497","80","","0","1","28 Feb 2021 04:12:40"
"497","80","","0","2","28 Feb 2021 04:07:37"
"497","80","","0","1","28 Feb 2021 04:02:35"
"497","80","","0","0","28 Feb 2021 03:57:36"
"497","41","","0","2","28 Feb 2021 03:53:06"
"497","80","","0","1","28 Feb 2021 03:47:35"
"497","80","","0","3","28 Feb 2021 03:43:09"
"497","80","","0","0","28 Feb 2021 03:37:50"
"497","80","","0","0","28 Feb 2021 03:32:36"
"497","38","","0","6","28 Feb 2021 03:27:40"
"497","80","","0","4","28 Feb 2021 03:22:37"
"497","80","","0","4","28 Feb 2021 03:17:32"
