"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"498","37","","0","39","03 Mar 2021 12:03:52"
"498","37","","0","39","03 Mar 2021 11:58:52"
"498","32","","0","39","03 Mar 2021 11:53:52"
"498","40","","0","41","03 Mar 2021 11:48:51"
"498","35","","0","36","03 Mar 2021 11:43:51"
"498","35","","0","36","03 Mar 2021 11:38:50"
"498","35","","0","40","03 Mar 2021 11:33:49"
"498","40","","0","44","03 Mar 2021 11:28:49"
"498","35","","0","34","03 Mar 2021 11:23:49"
"498","35","","0","34","03 Mar 2021 11:18:49"
"498","40","","0","24","03 Mar 2021 11:13:50"
"498","35","","0","31","03 Mar 2021 11:08:48"
"498","38","","0","22","03 Mar 2021 11:03:48"
"498","38","","0","22","03 Mar 2021 10:58:48"
"498","38","","0","31","03 Mar 2021 10:53:48"
"498","37","","0","31","03 Mar 2021 10:48:47"
"498","37","","0","29","03 Mar 2021 10:43:47"
"498","37","","0","29","03 Mar 2021 10:43:04"
"498","37","","0","29","03 Mar 2021 10:41:43"
"498","35","","0","24","03 Mar 2021 10:41:43"
"498","41","","0","5","28 Feb 2021 22:58:50"
"498","33","","0","10","28 Feb 2021 22:53:47"
"498","41","","0","7","28 Feb 2021 22:48:52"
"498","45","","0","7","28 Feb 2021 22:43:46"
"498","38","","0","9","28 Feb 2021 22:38:48"
"498","45","","0","12","28 Feb 2021 22:33:47"
"498","38","","0","10","28 Feb 2021 22:28:45"
"498","45","","0","10","28 Feb 2021 22:23:45"
"498","41","","0","6","28 Feb 2021 22:18:46"
"498","41","","0","6","28 Feb 2021 22:13:45"
"498","40","","0","9","28 Feb 2021 22:08:45"
"498","35","","0","10","28 Feb 2021 22:04:29"
"498","43","","0","17","28 Feb 2021 21:58:51"
"498","35","","0","8","28 Feb 2021 21:53:45"
"498","43","","0","12","28 Feb 2021 21:49:03"
"498","37","","0","13","28 Feb 2021 21:44:00"
"498","43","","0","9","28 Feb 2021 21:38:47"
"498","45","","0","11","28 Feb 2021 21:34:02"
"498","45","","0","11","28 Feb 2021 21:28:47"
"498","40","","0","15","28 Feb 2021 21:23:43"
"498","43","","0","19","28 Feb 2021 21:18:42"
"498","43","","0","22","28 Feb 2021 21:13:43"
"498","43","","0","22","28 Feb 2021 21:08:42"
"498","37","","0","21","28 Feb 2021 21:03:41"
"498","41","","0","21","28 Feb 2021 20:58:40"
"498","38","","0","34","28 Feb 2021 20:53:40"
"498","38","","0","26","28 Feb 2021 20:48:40"
"498","38","","0","26","28 Feb 2021 20:43:41"
"498","38","","0","32","28 Feb 2021 20:38:39"
"498","41","","0","22","28 Feb 2021 20:33:40"
"498","38","","0","21","28 Feb 2021 20:28:39"
"498","38","","0","26","28 Feb 2021 20:23:40"
"498","38","","0","26","28 Feb 2021 20:18:38"
"498","38","","0","36","28 Feb 2021 20:13:36"
"498","37","","0","41","28 Feb 2021 20:08:36"
"498","40","","0","32","28 Feb 2021 20:03:39"
"498","40","","0","32","28 Feb 2021 19:58:36"
"498","35","","0","38","28 Feb 2021 19:53:35"
"498","41","","0","25","28 Feb 2021 19:48:36"
"498","37","","0","31","28 Feb 2021 19:43:35"
"498","37","","0","31","28 Feb 2021 19:38:35"
"498","38","","0","28","28 Feb 2021 19:33:36"
"498","38","","0","28","28 Feb 2021 19:28:34"
"498","37","","0","37","28 Feb 2021 19:23:34"
"498","37","","0","37","28 Feb 2021 19:18:34"
"498","45","","0","36","28 Feb 2021 19:13:34"
"498","40","","0","32","28 Feb 2021 19:08:33"
"498","40","","0","22","28 Feb 2021 19:03:33"
"498","41","","0","24","28 Feb 2021 18:58:33"
"498","41","","0","24","28 Feb 2021 18:53:33"
"498","37","","0","35","28 Feb 2021 18:48:32"
"498","35","","0","31","28 Feb 2021 18:43:34"
"498","40","","0","36","28 Feb 2021 18:38:34"
"498","40","","0","36","28 Feb 2021 18:33:32"
"498","40","","0","34","28 Feb 2021 18:28:32"
"498","37","","0","30","28 Feb 2021 18:23:32"
"498","38","","0","38","28 Feb 2021 18:18:30"
"498","40","","0","32","28 Feb 2021 18:13:33"
"498","33","","0","41","28 Feb 2021 18:08:33"
"498","33","","0","41","28 Feb 2021 18:03:30"
"498","33","","0","35","28 Feb 2021 17:58:28"
"498","32","","0","59","28 Feb 2021 17:53:32"
