"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"500","32","","0","38","03 Mar 2021 12:03:52"
"500","32","","0","38","03 Mar 2021 11:58:52"
"500","32","","0","38","03 Mar 2021 11:53:52"
"500","28","","0","46","03 Mar 2021 11:48:51"
"500","35","","0","37","03 Mar 2021 11:43:51"
"500","35","","0","37","03 Mar 2021 11:38:50"
"500","30","","0","34","03 Mar 2021 11:33:49"
"500","33","","0","54","03 Mar 2021 11:28:49"
"500","37","","0","33","03 Mar 2021 11:23:49"
"500","37","","0","33","03 Mar 2021 11:18:49"
"500","33","","0","27","03 Mar 2021 11:13:50"
"500","28","","0","42","03 Mar 2021 11:08:48"
"500","32","","0","26","03 Mar 2021 11:03:48"
"500","32","","0","26","03 Mar 2021 10:58:48"
"500","35","","0","32","03 Mar 2021 10:53:48"
"500","30","","0","26","03 Mar 2021 10:48:47"
"500","37","","0","32","03 Mar 2021 10:43:47"
"500","37","","0","32","03 Mar 2021 10:43:04"
"500","37","","0","32","03 Mar 2021 10:41:43"
"500","35","","0","22","03 Mar 2021 10:41:43"
"500","41","","0","6","28 Feb 2021 22:58:50"
"500","35","","0","12","28 Feb 2021 22:53:47"
"500","32","","0","8","28 Feb 2021 22:48:52"
"500","35","","0","9","28 Feb 2021 22:43:46"
"500","30","","0","8","28 Feb 2021 22:38:48"
"500","45","","0","11","28 Feb 2021 22:33:47"
"500","35","","0","16","28 Feb 2021 22:28:45"
"500","41","","0","10","28 Feb 2021 22:23:45"
"500","33","","0","9","28 Feb 2021 22:18:46"
"500","33","","0","9","28 Feb 2021 22:13:45"
"500","37","","0","10","28 Feb 2021 22:08:45"
"500","30","","0","7","28 Feb 2021 22:04:29"
"500","37","","0","19","28 Feb 2021 21:58:51"
"500","32","","0","11","28 Feb 2021 21:53:45"
"500","37","","0","13","28 Feb 2021 21:49:03"
"500","38","","0","12","28 Feb 2021 21:44:00"
"500","37","","0","11","28 Feb 2021 21:38:47"
"500","33","","0","18","28 Feb 2021 21:34:02"
"500","33","","0","18","28 Feb 2021 21:28:47"
"500","38","","0","17","28 Feb 2021 21:23:43"
"500","37","","0","23","28 Feb 2021 21:18:42"
"500","35","","0","28","28 Feb 2021 21:13:43"
"500","35","","0","28","28 Feb 2021 21:08:42"
"500","35","","0","20","28 Feb 2021 21:03:41"
"500","33","","0","22","28 Feb 2021 20:58:40"
"500","30","","0","30","28 Feb 2021 20:53:40"
"500","33","","0","34","28 Feb 2021 20:48:40"
"500","33","","0","34","28 Feb 2021 20:43:41"
"500","32","","0","31","28 Feb 2021 20:38:39"
"500","32","","0","31","28 Feb 2021 20:33:40"
"500","33","","0","21","28 Feb 2021 20:28:39"
"500","32","","0","27","28 Feb 2021 20:23:40"
"500","32","","0","27","28 Feb 2021 20:18:38"
"500","30","","0","43","28 Feb 2021 20:13:36"
"500","30","","0","44","28 Feb 2021 20:08:36"
"500","30","","0","41","28 Feb 2021 20:03:39"
"500","30","","0","41","28 Feb 2021 19:58:36"
"500","32","","0","32","28 Feb 2021 19:53:35"
"500","35","","0","31","28 Feb 2021 19:48:36"
"500","30","","0","35","28 Feb 2021 19:43:35"
"500","30","","0","35","28 Feb 2021 19:38:35"
"500","35","","0","34","28 Feb 2021 19:33:36"
"500","32","","0","26","28 Feb 2021 19:28:34"
"500","30","","0","44","28 Feb 2021 19:23:34"
"500","30","","0","44","28 Feb 2021 19:18:34"
"500","24","","0","44","28 Feb 2021 19:13:34"
"500","33","","0","41","28 Feb 2021 19:08:33"
"500","33","","0","29","28 Feb 2021 19:03:33"
"500","35","","0","26","28 Feb 2021 18:58:33"
"500","35","","0","26","28 Feb 2021 18:53:33"
"500","32","","0","31","28 Feb 2021 18:48:32"
"500","30","","0","42","28 Feb 2021 18:43:34"
"500","30","","0","34","28 Feb 2021 18:38:34"
"500","30","","0","34","28 Feb 2021 18:33:32"
"500","30","","0","39","28 Feb 2021 18:28:32"
"500","35","","0","32","28 Feb 2021 18:23:32"
