"#","Average Speed","Congestion (%)","Current Flow","Link Travel Time","Date"
"501","19","","0","54","03 Mar 2021 11:13:50"
"501","20","","0","23","03 Mar 2021 11:08:48"
"501","20","","0","37","03 Mar 2021 11:03:48"
"501","20","","0","37","03 Mar 2021 10:58:48"
"501","17","","0","30","03 Mar 2021 10:53:48"
"501","25","","0","43","03 Mar 2021 10:48:47"
"501","25","","0","25","03 Mar 2021 10:43:47"
"501","25","","0","25","03 Mar 2021 10:43:04"
"501","25","","0","25","03 Mar 2021 10:41:43"
"501","20","","0","19","03 Mar 2021 10:41:43"
"501","17","","0","7","28 Feb 2021 22:58:50"
"501","30","","0","8","28 Feb 2021 22:53:47"
"501","35","","0","11","28 Feb 2021 22:48:52"
"501","32","","0","14","28 Feb 2021 22:43:46"
"501","28","","0","9","28 Feb 2021 22:38:48"
"501","28","","0","14","28 Feb 2021 22:33:47"
"501","28","","0","10","28 Feb 2021 22:28:45"
"501","35","","0","12","28 Feb 2021 22:23:45"
"501","28","","0","11","28 Feb 2021 22:18:46"
"501","28","","0","11","28 Feb 2021 22:13:45"
"501","24","","0","16","28 Feb 2021 22:08:45"
"501","32","","0","13","28 Feb 2021 22:04:29"
"501","25","","0","22","28 Feb 2021 21:58:51"
"501","25","","0","18","28 Feb 2021 21:53:45"
"501","24","","0","13","28 Feb 2021 21:49:03"
"501","27","","0","14","28 Feb 2021 21:44:00"
"501","24","","0","20","28 Feb 2021 21:38:47"
"501","30","","0","27","28 Feb 2021 21:34:02"
"501","30","","0","27","28 Feb 2021 21:28:47"
"501","25","","0","29","28 Feb 2021 21:23:43"
"501","28","","0","33","28 Feb 2021 21:18:42"
"501","28","","0","26","28 Feb 2021 21:13:43"
"501","28","","0","26","28 Feb 2021 21:08:42"
"501","25","","0","39","28 Feb 2021 21:03:41"
"501","28","","0","22","28 Feb 2021 20:58:40"
"501","28","","0","24","28 Feb 2021 20:53:40"
"501","28","","0","27","28 Feb 2021 20:48:40"
"501","28","","0","27","28 Feb 2021 20:43:41"
"501","27","","0","26","28 Feb 2021 20:38:39"
"501","33","","0","30","28 Feb 2021 20:33:40"
"501","28","","0","25","28 Feb 2021 20:28:39"
"501","27","","0","30","28 Feb 2021 20:23:40"
"501","27","","0","30","28 Feb 2021 20:18:38"
"501","27","","0","29","28 Feb 2021 20:13:36"
"501","30","","0","29","28 Feb 2021 20:08:36"
"501","25","","0","34","28 Feb 2021 20:03:39"
"501","25","","0","34","28 Feb 2021 19:58:36"
