Time,Direction, Cars, Bicycles, Vans, Lorries, Taxis, Buses, Motorcycles, Wheelchair/mobility Scooter, E-scooter, Pedestrians
18:45,Southbound,16,0,1,0,2,0,0,0,0,4
18:30,Southbound,16,2,2,0,0,0,0,0,0,1
18:15,Southbound,15,0,2,0,1,0,0,0,0,0
18:00,Southbound,26,0,4,0,2,0,0,0,0,1
17:45,Southbound,18,3,0,0,1,0,0,0,0,4
17:30,Southbound,12,0,0,0,1,0,0,0,0,1
17:15,Southbound,7,0,1,0,0,0,0,0,0,0
17:00,Southbound,25,2,0,0,0,0,0,0,0,2
16:45,Southbound,18,2,2,0,2,0,0,0,0,2
16:30,Southbound,16,0,2,0,1,0,0,0,1,1
16:15,Southbound,23,0,2,1,0,0,0,0,1,0
16:00,Southbound,16,1,4,1,0,0,0,0,0,1
15:45,Southbound,12,2,0,1,2,0,0,0,1,17
15:30,Southbound,18,1,2,0,0,0,0,0,0,8
15:15,Southbound,8,2,2,0,1,0,0,0,0,6
15:00,Southbound,9,1,3,1,0,0,0,0,0,8
14:45,Southbound,16,1,2,0,0,0,0,0,0,0
14:30,Southbound,17,0,3,0,0,0,0,0,0,0
14:15,Southbound,11,1,1,0,1,0,0,0,0,3
14:00,Southbound,17,1,4,0,0,0,0,0,0,0
13:45,Southbound,12,3,1,0,1,0,0,0,0,0
13:30,Southbound,6,0,2,0,0,0,0,0,0,2
13:15,Southbound,5,0,1,0,1,0,0,0,0,1
13:00,Southbound,9,0,4,1,0,0,1,0,0,3
12:45,Southbound,19,0,2,0,2,0,0,0,0,2
12:30,Southbound,4,1,10,0,0,0,0,0,0,4
12:15,Southbound,15,1,4,0,0,0,0,0,0,0
12:00,Southbound,12,1,2,0,0,0,0,0,0,3
11:45,Southbound,12,1,2,0,2,0,0,0,0,0
11:30,Southbound,7,0,2,0,0,0,0,0,0,1
11:15,Southbound,6,0,3,0,0,0,0,0,1,1
11:00,Southbound,14,0,0,0,0,0,0,0,1,0
10:45,Southbound,5,0,2,0,0,0,0,0,0,2
10:30,Southbound,7,0,0,0,1,0,0,0,0,0
10:15,Southbound,9,0,2,0,0,0,0,0,0,0
10:00,Southbound,7,0,0,0,0,0,0,0,0,0
09:45,Southbound,4,2,0,1,1,0,0,0,1,0
09:30,Southbound,5,0,1,0,0,0,0,0,0,1
09:15,Southbound,9,1,2,0,1,0,0,0,0,1
09:00,Southbound,7,0,0,0,0,0,0,0,0,2
08:45,Southbound,15,0,0,0,2,0,0,0,0,2
08:30,Southbound,11,0,3,0,1,0,0,0,0,2
08:15,Southbound,8,0,0,0,0,0,0,0,0,1
08:00,Southbound,11,0,3,0,0,0,0,0,0,0
07:45,Southbound,0,1,2,0,0,0,0,0,0,0
07:30,Southbound,6,0,1,0,2,0,0,0,0,3
07:15,Southbound,1,0,3,0,0,0,0,0,0,1
07:00,Southbound,1,0,0,0,0,0,0,0,0,0
18:45,Northbound,5,0,1,0,0,0,0,0,0,1
18:30,Northbound,7,1,0,0,0,0,0,0,0,0
18:15,Northbound,9,0,0,0,0,0,0,0,0,2
18:00,Northbound,6,0,0,0,2,0,0,0,0,1
17:45,Northbound,10,0,1,0,0,0,0,0,0,2
17:30,Northbound,8,3,0,0,0,0,0,0,0,1
17:15,Northbound,6,1,0,0,0,0,0,0,0,0
17:00,Northbound,5,0,1,0,1,0,0,0,0,2
16:45,Northbound,9,1,0,0,1,0,0,0,0,0
16:30,Northbound,8,0,1,0,0,0,0,0,1,1
16:15,Northbound,5,1,0,0,0,0,0,0,0,0
16:00,Northbound,6,0,0,0,0,0,0,0,0,1
15:45,Northbound,6,0,0,0,0,0,0,0,0,0
15:30,Northbound,7,0,1,0,0,0,0,0,0,1
15:15,Northbound,6,0,2,0,0,0,0,0,0,0
15:00,Northbound,10,1,0,0,0,0,0,0,0,3
14:45,Northbound,4,0,0,0,0,0,0,0,0,0
14:30,Northbound,5,0,1,0,0,0,0,0,0,0
14:15,Northbound,7,0,1,0,0,0,0,0,0,3
14:00,Northbound,6,0,1,0,0,0,0,0,0,2
13:45,Northbound,2,0,1,1,0,0,0,0,0,0
13:30,Northbound,6,0,0,0,0,0,0,0,0,0
13:15,Northbound,1,0,0,0,0,0,0,0,0,0
13:00,Northbound,2,0,0,0,0,0,0,0,0,0
12:45,Northbound,2,0,1,0,0,0,0,0,0,0
12:30,Northbound,1,0,0,0,0,0,0,0,0,0
12:15,Northbound,7,0,0,0,1,0,0,0,0,1
12:00,Northbound,5,0,0,0,0,0,0,0,0,0
11:45,Northbound,1,1,0,0,0,0,0,0,0,3
11:30,Northbound,1,0,0,0,0,0,0,0,0,0
11:15,Northbound,4,0,0,0,0,0,0,0,0,0
11:00,Northbound,5,3,3,0,0,0,0,0,0,2
10:45,Northbound,6,0,0,0,0,0,0,0,1,0
10:30,Northbound,4,1,1,0,0,0,0,0,0,1
10:15,Northbound,3,1,0,0,0,0,0,0,0,0
10:00,Northbound,5,1,0,0,0,0,0,0,0,0
09:45,Northbound,2,2,1,0,0,0,0,0,0,1
09:30,Northbound,6,0,0,0,1,0,0,0,0,0
09:15,Northbound,6,0,0,0,0,0,0,0,0,1
09:00,Northbound,8,0,1,0,0,0,0,0,0,1
08:45,Northbound,11,2,0,0,0,0,0,0,0,2
08:30,Northbound,17,1,1,0,0,0,0,0,0,13
08:15,Northbound,22,0,0,0,0,0,0,0,0,3
08:00,Northbound,19,0,1,0,0,0,0,0,0,0
07:45,Northbound,7,0,2,0,0,0,0,0,0,3
07:30,Northbound,5,0,2,0,0,0,0,0,0,0
07:15,Northbound,3,0,0,1,0,0,0,0,0,1
07:00,Northbound,2,0,0,0,0,0,0,0,0,1
