Date,Time,Direction,Bicycles,Buses,Cars,E-scooter,Lorries,Motorbike,Pedestrians,Taxis,Vans,Wheelchair
14.06.21,07:00,Northbound,0,0,3,0,0,0,0,0,0,0
14.06.21,07:15,Northbound,1,0,4,0,0,0,8,0,1,0
14.06.21,07:30,Northbound,3,0,3,0,0,0,2,1,0,0
14.06.21,07:45,Northbound,0,0,6,0,0,0,11,1,1,0
14.06.21,08:00,Northbound,0,0,12,1,0,0,5,0,1,0
14.06.21,08:15,Northbound,3,0,20,0,0,0,1,3,1,0
14.06.21,08:30,Northbound,3,0,20,0,0,0,19,1,1,0
14.06.21,08:45,Northbound,4,0,16,0,1,0,8,0,2,0
14.06.21,09:00,Northbound,2,0,10,0,0,0,3,0,0,0
14.06.21,09:15,Northbound,0,0,3,0,0,0,5,1,5,0
14.06.21,09:30,Northbound,1,1,6,0,0,0,6,0,1,0
14.06.21,09:45,Northbound,1,0,5,0,0,0,6,0,3,0
14.06.21,10:00,Northbound,0,0,4,0,0,0,5,0,1,0
14.06.21,10:15,Northbound,0,0,7,0,0,0,6,0,2,0
14.06.21,10:30,Northbound,0,1,10,0,1,0,2,0,1,0
14.06.21,10:45,Northbound,0,0,4,0,0,0,2,0,0,0
14.06.21,11:00,Northbound,0,0,6,0,0,0,2,0,0,0
14.06.21,11:15,Northbound,0,0,9,0,1,0,3,1,2,0
14.06.21,11:30,Northbound,4,1,5,0,1,0,5,0,0,0
14.06.21,11:45,Northbound,2,0,12,0,2,0,7,1,3,0
14.06.21,12:00,Northbound,2,0,7,0,2,0,5,0,0,0
14.06.21,12:15,Northbound,2,0,4,0,0,0,3,0,0,0
14.06.21,12:30,Northbound,10,1,3,0,0,0,7,0,2,0
14.06.21,12:45,Northbound,1,0,10,0,3,0,1,0,1,0
14.06.21,13:00,Northbound,1,0,4,0,0,0,2,0,0,0
14.06.21,13:15,Northbound,3,0,7,0,1,0,5,0,1,0
14.06.21,13:30,Northbound,1,1,5,4,0,0,5,0,2,0
14.06.21,13:45,Northbound,3,0,6,0,1,0,0,1,2,0
14.06.21,14:00,Northbound,2,0,6,0,0,0,3,0,2,0
14.06.21,14:15,Northbound,1,0,7,0,1,0,1,2,0,0
14.06.21,14:30,Northbound,3,1,12,0,0,0,3,0,0,0
14.06.21,14:45,Northbound,5,0,18,0,0,0,10,0,0,0
14.06.21,15:00,Northbound,5,0,22,0,0,0,23,0,0,0
14.06.21,15:15,Northbound,2,0,10,0,1,0,3,0,1,0
14.06.21,15:30,Northbound,1,1,4,1,0,0,2,0,0,0
14.06.21,15:45,Northbound,3,0,10,1,0,1,3,1,1,0
14.06.21,16:00,Northbound,4,0,18,0,0,0,4,0,0,0
14.06.21,16:15,Northbound,0,0,8,0,0,0,1,0,3,0
14.06.21,16:30,Northbound,3,0,11,0,0,0,2,0,1,0
14.06.21,16:45,Northbound,6,0,17,0,1,0,5,0,2,0
14.06.21,17:00,Northbound,7,0,10,2,0,0,6,0,1,0
14.06.21,17:15,Northbound,4,0,15,0,0,0,0,0,1,0
14.06.21,17:30,Northbound,2,0,14,0,0,0,5,0,2,0
14.06.21,17:45,Northbound,0,0,10,0,0,0,6,1,1,0
