Time,Direction,Cars,Bicycles,Vans,Lorries,Taxis,Buses,Motorcycles,Wheelchair,E-scooter,Pedestrians
07:00,Southbound,9,1,6,0,0,0,0,0,0,4
07:00,Northbound,17,0,4,1,0,0,0,0,0,5
08:00,Southbound,44,0,6,0,3,0,0,0,0,5
08:00,Northbound,69,3,2,0,0,0,0,0,0,19
09:00,Southbound,25,3,3,1,2,0,0,0,1,4
09:00,Northbound,22,2,2,0,1,0,0,0,0,3
10:00,Southbound,28,0,4,0,1,0,0,0,0,0
10:00,Northbound,18,3,1,0,0,0,0,0,1,1
11:00,Southbound,39,1,7,0,2,0,0,0,2,4
11:00,Northbound,11,4,3,0,0,0,0,0,0,5
12:00,Southbound,50,3,18,0,2,0,0,0,0,9
12:00,Northbound,15,0,2,0,1,0,0,0,0,1
13:00,Southbound,35,3,8,1,2,0,1,0,0,6
13:00,Northbound,11,0,1,1,0,0,0,0,0,0
14:00,Southbound,65,3,10,0,2,0,0,0,0,3
14:00,Northbound,22,0,3,0,0,0,0,0,0,5
15:00,Southbound,51,6,7,2,3,0,0,0,1,39
15:00,Northbound,29,1,3,0,0,0,0,0,0,5
16:00,Southbound,77,3,10,2,3,0,0,0,2,4
16:00,Northbound,28,2,1,0,1,0,0,0,1,2
17:00,Southbound,66,5,1,0,2,0,0,0,0,7
17:00,Northbound,30,4,2,0,1,0,0,0,0,5
18:00,Southbound,77,2,9,0,5,0,0,0,0,6
18:00,Northbound,27,1,1,0,2,0,0,0,0,4
07:00,Total,26,1,10,1,0,0,0,0,0,9
08:00,Total,113,3,8,0,3,0,0,0,0,24
09:00,Total,47,5,5,1,3,0,0,0,1,7
10:00,Total,46,3,5,0,1,0,0,0,1,1
11:00,Total,50,5,10,0,2,0,0,0,2,9
12:00,Total,65,3,20,0,3,0,0,0,0,10
13:00,Total,46,3,9,2,2,0,1,0,0,6
14:00,Total,87,3,13,0,2,0,0,0,0,8
15:00,Total,80,7,10,2,3,0,0,0,1,44
16:00,Total,105,5,11,2,4,0,0,0,3,6
17:00,Total,96,9,3,0,3,0,0,0,0,12
18:00,Total,104,3,10,0,7,0,0,0,0,10
