Database Parties,LAD,,ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,ApprovedDate
Labour,National,,PP53,Labour Party,Political Party,Registered,Great Britain,14/01/99
Conservative,National,,PP52,Conservative and Unionist Party,Political Party,Registered,Great Britain,14/01/99
Liberal Democrats,National,,PP90,Liberal Democrats,Political Party,Registered,Great Britain,14/01/99
Uk Independence Party,National,,PP85,UK Independence Party (UKIP),Political Party,Registered,Great Britain,25/02/99
Green,National,,PP63,Green Party,Political Party,Registered,Great Britain,25/02/99
Liberal Party,National,,PP54,The Liberal Party,Political Party,Registered,Great Britain,25/02/99
Ashfield Independents,Ashfield,E07000170,PP3902,Ashfield Independents,Political Party,Registered,Great Britain,28/07/16
Ashford Independent,Ashford,E07000105,PP291,Ashford Independent,Political Party,Registered,Great Britain,06/03/03
Babergh Unionists,Babergh,E07000200,,,,,,
Barnsley Independent Group,Barnsley,E08000016,PP530,Barnsley Independent Group,Political Party,Registered,Great Britain,14/02/06
Nethermayne Independents,Basildon,E07000066,,,,,,
Independents,Bath and North East Somerset,E06000022,,,,,,
Independent Blackpool Residents Group,Blackpool,E06000009,,,,,,
Farnworth And Kearsley First,Bolton,E08000001,PP6572,Farnworth and Kearsley First Party,Political Party,Registered,Great Britain,13/09/17
Bostonian Independents,Boston,E07000136,PPm6765,Bostonian Independents Group,Minor Party,Registered,,29/05/18
Bingley Independent,Bradford,E08000032,,,,,,
The Independents,Bradford,E08000032,,,,,,
Bradford Independent Group,Bradford,E08000032,,,,,,
The Queensbury Ward Independent,Bradford,E08000032,,,,,,
Halstead Residents' Association,Braintree,E07000067,PP251,Halstead Residents' Association,Political Party,Registered,Great Britain,10/07/02
Unionist,Breckland,E07000143,,,,,,
Broadland Conservative Group,Broadland,E07000144,,,,,,
Wythall Residents' Association (Independent Alliance),Bromsgrove,E07000234,PP279,Wythall Residents' Association,Political Party,Registered,Great Britain,19/02/03
Canvey Island Independent Party,Castle Point,E07000069,PP381,Canvey Island Independent Party,Political Party,Registered,Great Britain,22/04/04
People Against Bureaucracy Group,Cheltenham,E07000078,PP2,People Against Bureaucracy Group,Political Party,Registered,Great Britain,25/03/99
Alderley Edge First,Cheshire East,E06000049,,,,,,
Bollington First,Cheshire East,E06000049,PP2676,BollingtonFirst,Political Party,Registered,Great Britain,27/02/15
Handforth Ratepayers,Cheshire East,E06000049,PP96,Handforth 'Ratepayers' Association (Independent),Political Party,Registered,Great Britain,02/03/00
Middlewich First,Cheshire East,E06000049,PP306,Middlewich First,Political Party,Registered,Great Britain,20/03/03
Residents Of Wilmslow,Cheshire East,E06000049,,,,,,
Independent Group,Chorley,E07000118,,,,,,
Mebyon Kernow,Cornwall,E06000052,PP58,Mebyon Kernow - The Party for Cornwall,Political Party,Registered,Great Britain,25/02/99
Derwentside Independents,County Durham,E06000047,PP147,Derwentside Independents,Political Party,Registered,Great Britain,18/04/01
The North East Party,County Durham,E06000047,PP2303,The North East Party,Political Party,Registered,Great Britain,15/05/14
Spennymoor Independents,County Durham,E06000047,PP2028,Spennymoor Independents,Political Party,Registered,Great Britain,13/02/13
Local Conservatives,Dartford,E07000107,,,,,,
Swanscombe And Greenhithe Residents Association,Dartford,E07000107,PP6370,Swanscombe and Greenhithe Residents' Association,Political Party,Registered,Great Britain,20/03/17
Mexborough First,Doncaster,E08000017,PP2287,Mexborough First,Political Party,Registered,Great Britain,17/03/14
East Lindsey Independent Group,East Lindsey,E07000137,PP646,East Lindsey Independent Group,Political Party,Registered,Great Britain,19/03/07
Independent Byford,East Lindsey,E07000137,,,,,,
Independent Group,Eden,E07000030,,,,,,
Hersham Village Society,Elmbridge,E07000207,PP1874,Hersham Village Society,Political Party,Registered,Great Britain,21/02/12
Hinchley Wood Residents' Association,Elmbridge,E07000207,PP15,Hinchley Wood Residents Association,Political Party,Registered,Great Britain,17/02/00
Thames Ditton & Weston Green Residents' Association,Elmbridge,E07000207,PP64,Thames Ditton / Weston Green Residents' Association,Political Party,Registered,Great Britain,17/02/00
Molesey Residents' Association,Elmbridge,E07000207,PP20,The Molesey Residents Association,Political Party,Registered,Great Britain,10/11/99
The Walton Society,Elmbridge,E07000207,PP75,The Walton Society,Political Party,Registered,Great Britain,29/12/99
Weybridge & St. George'S Independents,Elmbridge,E07000207,PP49,Weybridge & St. George's Independents,Political Party,Registered,Great Britain,16/03/00
Loughton Residents Association,Epping Forest,E07000072,PP128,Independent Loughton Residents Association,Political Party,Registered,Great Britain,15/03/01
Residents Associations Of Epsom And Ewell,Epsom and Ewell,E07000208,PP74,Residents Associations of Epsom and Ewell,Political Party,Registered,Great Britain,13/12/00
West Suffolk Independent,Forest Heath,E07000201,PP2353,West Suffolk Independents,Political Party,Registered,Great Britain,04/09/14
Forest First,Forest of Dean,E07000080,,,,,,
Ratepayers,Fylde,E07000119,PP149,Fylde Ratepayers,Political Party,Registered,Great Britain,18/04/01
Gravesham Independent Conservatives,Gravesham,E07000109,,,,,,
Guildford Greenbelt Group,Guildford,E07000209,PP2535,Guildford Greenbelt Group,Political Party,Registered,Great Britain,07/11/14
Yorkshire Party,Hambleton,E07000164,PP2055,The Yorkshire Party,Political Party,Registered,Great Britain,12/06/13
Ripon Independents ,Harrogate,E07000165,,,,,,
Community Campaign Hart,Hart,E07000089,PP367,Community Campaign (Hart),Political Party,Registered,Great Britain,27/02/04
